ConfirmQuantityTitle,Confirmeu quantitat
NoInterventionLeadthru,En aquests moments no es requereix cap intervenció.
XM_Coins,Monedes
XM_ManualFillAlert,"Obriu la porta del carril i dipositeu l'efectiu directament a l'aparell. No l'introduïu als receptors."
ScotApp_498,Import pagat:
ScotApp_849,Es requereix quantitat
ScotApp_326,"La data de naixement no compleix amb l'edat mínima requerida per als articles restringits."
ScotApp_847,Escanejat finalitzat
ScotApp_846,Escanegeu els articles o toqueu «Escanejat finalitzat».
ScotApp_285,"Escàner: Sufix d'etiqueta no vàlid"
ScotApp_284,"Escàner: S'han perdut les dades"
ScotApp_287,Escàner: Etiqueta no vàlida
ScotApp_286,"Escàner: Prefix2 d'etiqueta no vàlid"
ScotApp_281,281unused
ScotApp_280,Elimineu el fitxer de registre de seguretat
ScotApp_283,Introduïu contrasenya
ScotApp_282,"Introduïu l'ID"
XM_CommitLoan,Validar la càrrega
ScotApp_394,394unused
XM_ConfirmEmptyNoteOverflow,* Poseu a zero els recomptes de la caixa de recaptació\nImport per retirar:%s
ScotApp_356,Encriptador
ScotApp_289,289unused
BagAreaBackupLeadthru,Retireu els articles encallats a la cinta.
ScotApp_941,Article anul·lat
XM_CashRemoveLeadthru,Seleccioneu la funció desitjada.
ScotApp_763,763unused
ScotApp_72,72unused
ScotApp_506,506unused
RemovedItem,"He retirat l'article"
ScotApp_42,Articles anul·lats
ScotApp_1835,"Verifiqueu o retireu l'article"
ScotApp_22,No\nEfectiu\nDevolució\n+ 0          \n(%s)
ScotApp_12,Qty %d @ %s/each
ScotApp_1167,"* Obriu la porta de l'armari de la impressora.\n* Obriu i empenyeu novament la impressora.\n* Obriu la tapa de la impressora i comproveu si hi ha encallaments.\n* Tanqueu la tapa de la impressora i torneu a carregar el paper.\n* Estireu amb cura la impressora fins que encaixi a la seva posició."
ScotApp_1177,"EL TEMPS D'EMBOSSAR DE L'ARTICLE HA CADUCAT"
ScotApp_1147,Error a la balança de seguretat
ScotApp_1157,"És possible que la porta del dispensador de bitllets estigui oberta.\n\nEl dispensador de bitllets no funciona si la porta d'accés està oberta.\n\nTanqueu i encaixeu completament la porta del dispensador o la porta de seguretat."
ScotApp_1127,ReConnect
ScotApp_1137,%s El caixetí de bitllets no està instal·lat.
ScotApp_1107,%s\t%s\tQuant.%s @ %s/%s\t%s
ScotApp_1117,%s el caixetí dispensador de bitllets no hi és o no està inserit del tot.\n\nInstal·leu o recol·loqueu %s el caixetí de bitllets fins que encaixi.
ScotApp_1787,"Introduïu el nombre de bosses de plàstic que heu utilitzat o 0 si no n'heu utilitzat."
ScotApp_962,"Recolliu l'article anul·lat del carril i, després, toqueu «Autoritzar anul·lació»."
LaneReceiptItemType1,%s\t%s
ScotApp_1187,ERROR DE DISPOSITIU
ScotApp_1197,TRANSACCIÓ CANCEL·LADA
ScotApp_502,"Retireu l'article cancel·lat."
XM_Empty,Buit
ScotApp_640,Entrades de pes existents a la base de dades de reconeixement de pesos
ScotApp_833,833unused
ScotApp_1368,Sigcap
ScotApp_1378,pes
ScotApp_1348,Carril tancat
ScotApp_1328,Pes doble
ScotApp_1338,Obteniu fitxers diag.
ScotApp_1308,PIN introduït
ScotApp_1318,Escanejar vals
ScotApp_959,"Base de dades d'aprenentatge de pesos"
TakeChange,Recolliu el canvi
ScotApp_919,"Verifiqueu el pes de l'article i toqueu «Autoritzar i actualitzar pes» o toqueu ""Autoritzar/No actualitzar""."
ScotApp_1388,Programa de formació
ScotApp_1398,Assist./Form.
ScotApp_1638,"Comproveu els cables del reciclador de monedes i torneu-ho a intentar.Si l'error es repeteix, poseu-vos en contacte amb el servei tècnic.\n\nError al SafePay: %s"
ScotApp_771,Cancel·lar suspensió
ScotApp_1767,"Fallada en l'accés als paràmetres de pes de la balança."
ScotApp_1777,"La transacció s'ha finalitzat utilitzant un cupó que supera el límit de cupons de l'establiment."
ScotApp_1747,"Error en el lector d'empremtes dactilars"
ScotApp_1757,"Per afegir un accent, toqueu una tecla d'«Accent» a la part inferior de la pantalla, després teclegeu la lletra."
ScotApp_1727,"Consulta d'article"
ScotApp_1737,Bossa pròpia
ScotApp_1707,Les monedes estan encallades al receptor
ScotApp_1717,WO:
SearchWatermark,"Introduir nom o codi d'article"
SearchItemNameWatermark,Enter Item Name
HH_ReEnterIDLeadthru,ID o contrasenya incorrectes. Torneu a introduir al teclat.
ScotApp_835,Rebut:
XM_ConfirmFillLoaderCassette,* Establiu els recomptes de bitllets\nNou import: %s\nNou recompte: %d
XM_TransferAllNotes,Transferir tots els bitllets
VoidItemBeforeCouponMessage,"No es pot anul·lar l'article fins que no s'anul·li el cupó. Anul·leu primer el cupó de l'article."
ScotApp_71,71unused
ScotApp_61,61unused
ScotApp_51,No es pot escanejar el cupó
