AmountSaved,Gespart
Assistance,Unterstützung
AssistanceComing,"Unterstützung kommt, bitte weitermachen."
Back,Zurück
BagItem,Bitte diesen Artikel einpacken.
BagItemCart,Artikel einpacken
BagItemOrSkip,Bitte diesen Artikel einpacken oder Aktion überspringen.
CallForHelp,Bitte um Hilfe?
Cancel,Lösche
CancelAll,Lösche alle
CancelCoupons,lösche Coupon
CancelPayment,Lösche Zahlung
CantScanCoupon,Coupon nicht lesbar
CartPay,Zahlen
Change,Rückgeld:
Confirm,Wollen Sie den gesamten Einkauf abbrechen?
ConfirmQuantity,Ist {0} in Ordnung?
Continue,Wollen Sie fortfahren?
CouponMessage,Legen Sie Coupons zur Seite. Ablegen am Ende des Einkaufs.
DepositCard,Bitte stecken Sie Ihren eingelösten Geschenkgutschein in den Coupon-Schlitz.
DepositCoupon,abgelegte Coupons
DepositGiftCard,Geschenkgutschein abgeben
Disconnected,Bitte warten...
Done,Fertig
Due,Fällig:{0}
EditCart,Einkaufswagen Bearbeiten
Enter,Eingabe
EnterAmount,Betragseingabe
EnterCouponValue,"Den Wert des Kupons in Cent eingeben und ""OK"" berühren"
EnterId,Geben Sie Ihre ID ein.
EnterPassword,Geben Sie Ihr Passwort ein.
EnterPin,PIN eingeben
EnterQuantity,Wie viele haben Sie?
EnterWeight,Artikel auf die Waage legen:
Finish,Vielen Dank für Ihren Einkauf.
FinishAndAdd,Beenden & Hinzufügen
GiftCard,Gutscheinguthaben
GoBack,Zurück
IncorrectLogin,Falsche Bediener-Nummer\nund Passwort.\nBitte wiederholen.
InsertCash,Eingabe von Bargeld
InsertCoupon,Bitte Coupon hineinstecken
InvalidBarcodeScan,Artikel beiseite stellen und mit Ihrem Einkauf fortfahren.
Item,{0} Artikel
Items,{0} Artikel
ItemsAddedFormat,"{0} Artikel, die dem Einkaufswagen hinzugefügt werden sollen."
Language,Sprache
NCRCorp,NCR Corp
No,Nein
OK,OK
Or,oder
OtherPayment,Andere Zahlungsart
OtherPaymentMethod,Andere Zahlungsmethoden
OwnBag,Eigene Tasche
Paid,Bezahlt:{0}
PayAnotherWay,Zahlen Sie anders
PointsEarned,Treuepunkte
PrintReceipt,Kassenbon drucken
Proceed,Weiter
Remove,Leeren
RemovedItem,Ich habe den Artikel entfernt
RestrictedItem,Jugendschutz-Artikel
ReturnToScan,Zurück
ScanAndBag,"Zum Beginnen, Scannen, Suchen oder Artikelcode eingeben."
ScanCoupon,Coupons scannen
ScanGiftCard,Gutschein scannen
ScanNextItem,Bitte nächsten Artikel scannen.
ScanVoucher,Coupons scannen
SearchResultsFor,"Suchergebnisse für ""{0}"""
SearchWatermark,Artikelname oder Code eingeben
SearchItemNameWatermark,Enter Item Name
SearchKeyInItem,Suchen oder Artikel Eingeben
SelectCashBack,Wählen Sie den Rückgeldbetrag
SelectLanguage,Sprache auswählen
SelectPaymentType,Zahlungsart wählen
SellBags,"Wie viele Plastiktüten haben Sie benutzt. Wenn Sie keine benutzt haben, 0 eingeben."
SignNeeded,Unterschrift erforderlich
SignSignature,Auf dem Unterschriftenpad unterschreiben.
SkipBagging,Einpacken Überspringen
Space,Leertaste
StartScanning,Scannen Anfangen
StoreLogin,Laden-Anmeldung
TakeCash,Entnehmen Sie Ihr Rückgeld.
TakeChange,Nehmen Sie Ihr Rückgeld
TakeReceipt,Nehmen Sie Ihren Bon
Tax,MwSt
TimeRestrictedItem,Art. zeitl. begrenzt
Total,Summe
TouchCancel,"Um die Zahlung abzubrechen, ""Abbrechen"" oder Pinpad berühren."
TryAgain,versuche nochmals
UnexpectedDecreaseMessage,Artikel wieder auf den Tütenbereich legen.
UnexpectedIncreaseMessage,Artikel aus dem Tütenbereich nehmen.
UsePinpad,PinPad benutzen
VoidItem,"Ungewollte Artikel scannen, oder berühren Sie\n""Leeren"" auf dem Einkaufsbon."
Volume,Volumen
Yes,Ja
ItemNumberAmount,AA :  
WeightExpected,EG :
WeightObserved,GG :
UnknownPriceMessage,Artikelpreis nicht bekannt.\nHilfe kommt.\n\nArtikel beiseite legen und fortfahren.
SetAllItemsAsideMessage,Gesamt-Vorgang storniert.\n\nLegen Alle Artikel zur Seite.
ConfirmAbortMessage,"Sind Sie sicher, dass Sie den Einkaufswagen Löschen wollen? Die gesamte Transaktion wird somit abgebrochen."
NoKeep,"Nein, behalten."
NoReturn,"Nein, zur Transaktion zurückkehren."
YesEmpty,"Ja, Einkaufwagen leeren und Transaktion beendenl."
YesRemove,"Ja, entfernen."
HostOfflineMessage,"Die Kasse ist offline, und das System versucht, die Verbindung wiederherzustellen."
LaneClosedMessage,Kasse geschlossen
LoadingText,Laden
VerifyBagsMessage,"Wenn Sie aus Versehen etwas anderes als eine Tüte in den Tütenbereich gelegt haben, entfernen Sie es bitte jetzt."
HelpOnWay,Hilfe kommt. Bitte weitermachen.
OwnBagMessage,Bitte stellen Sie Ihre Tüten auf die Waage.
UseOwnBag,Ich benutze meine eigene Tasche
AttendantMode,Mitarbeiter-Modus
AttendantTrainingMode,Mitarbeiter- und Trainingsmodus
TrainingMode,Trainingsmodus
ScaleBroken,Ladenpersonal rufen
Refunded,Rückvergütet:
EnterIDMessage,"ID eingeben und ""Eingabe"" berühren."
EnterIDText,Eingabe Identifikation
EnterPasswordMessage,Passwort und Eingabe tippen.
EnterPasswordText,Eingabe Passwort
VisualVerify,Visuelle Überprüfung
SingleItemAddedFormat,"{0} Artikel, der dem Einkaufswagen hinzugefügt werden soll."
Approved,Akzeptiert
VoidItemBeforeCouponMessage,Artikel kann erst nach Storno des Coupons storniert werden. storniere Coupon zuerst.
VerifyBags,Mitarbeiter wird ihre Tüten überprüfen.
CancelItems,Artikel stornieren
EnterQuantityTitle,gewünschte Menge
SecUnExpectedIncreaseTitle,Einpack-Warnhinweis
WeightMismatchTitle,Hilfe erforderlich
AssistanceNeededTitle,Hilfe erforderlich
CheckBasketTitle,Einkaufskorb überprüfen
ConfirmDebitAmountTitle,Betrag bestätigen
DropoffCouponsTitle,Gutscheine ablegen.
InsufficientBalanceTitle,Ungenügender Ausgleich
OperatorPasswordStateInvalidPasswordWithFPTitle,Fehler beim Anmelden mit Fingerabdruck
PurchaseCrateTitle,Erfassung Flaschen-Kasten
RestrictedItemTitle,Jugendschutz-Artikel
SecBagAreaBackupTitle,Restliche Artikel
SignChargeTitle,Bon unterschreiben
TakeCardTitle,Nehmen Sie Ihre Karte
ContinueTitle,Weitermachen?
ApprovalNeededTitle,Andere Genehmigungen
IncorrectLoginTitle,Falsche Nummer
RecalledItemTitle,aufgerufener Artikel
RemovedItemTitle,Einpack-Warnhinweis
SetAllItemsAsideTitle,Artikel zur Seite legen
TakeLoyaltyCardTitle,Kundenkarte nehmen
UnknownPriceTitle,unbekannter Preis
ConfirmEBTAmountTitle,Betrag bestätigen
DisconnectedTitle,Nicht Verbunden
ShuttingDown,Herunterfahren
NoneText,Keine
SMText,Verwaltung
SMLogInReceiptText,Angemeldet bei Verwaltungsvorgängen
