AmountSaved,Amount Saved
Assistance,Assistance
AssistanceComing,"Assistance is coming, please continue."
Back,Go Back
BagItem,Please bag this item.
BagItemCart,Bag Item
BagItemOrSkip,"Please bag this item, or choose to skip."
CallForHelp,Call For Help?
Cancel,Cancel
CancelAll,Cancel All
CancelCoupons,Cancel Coupons
CancelPayment,Cancel Payment
CantScanCoupon,"Can't Scan Coupons"
CartPay,Pay
Change,Change:
Confirm,Do you want to stop checking out and cancel your entire purchase?
ConfirmQuantity,Is {0} correct?
Continue,Do you wish to continue?
CouponMessage,Set coupon aside for now. Deposit them at end of purchase.
DepositCard,Please deposit your depleted gift card in the coupon slot.
DepositCoupon,Deposit Coupons
DepositGiftCard,Deposit Gift Card
Disconnected,Please wait...
Done,Done
Due,Due:{0}
EditCart,Edit Cart
Enter,Enter
EnterAmount,Enter Amount
EnterCouponValue,"Enter coupon's value in cents and touch ""OK"""
EnterId,Key in your ID.
EnterPassword,Key in your password.
EnterPin,Enter Pin
EnterQuantity,How many do you have?
EnterWeight,Place the item on the scale:
Finish,Thanks for shopping with us.
FinishAndAdd,Finish & Add
GiftCard,Gift Card Balance
GoBack,Go Back
IncorrectLogin,Incorrect operator number\nand password.\nPlease try again.
InsertCash,Insert Cash
InsertCoupon,Insert Coupon
InvalidBarcodeScan,Set item aside and continue \nwith your purchase.
Item,{0} item
Items,{0} items
ItemsAddedFormat,{0} items to be added to cart.
Language,Language
NCRCorp,NCR Corp
No,No
OK,OK
Or,or
OtherPayment,Other Payment
OtherPaymentMethod,Other payment methods
OwnBag,Own Bag
Paid,Paid:{0}
PayAnotherWay,Pay another way
PointsEarned,Points Earned
PrintReceipt,Print Receipt
Proceed,Continue
Remove,Remove
RemovedItem,I removed item
RestrictedItem,Restricted Item
ReturnToScan,Go Back
ScanAndBag,"Scan, search, or key in item code to start."
ScanCoupon,Scan Coupon
ScanGiftCard,Scan Gift Card
ScanNextItem,Please scan next item.
ScanVoucher,Scan Voucher
SearchResultsFor,"Search Results for ""{0}"""
SearchWatermark,Enter Item Name or Code
SearchItemNameWatermark,Enter Item Name
SearchKeyInItem,Search or Key in Item
SelectCashBack,Select Cash Back Amount
SelectLanguage,Select a Language
SelectPaymentType,Select Payment Type
SellBags,"How many plastic bags did you use?  Enter 0 if you didn't use any."
SignNeeded,Signature Needed
SignSignature,Sign signature pad.
SkipBagging,Skip Bagging
Space,Space
StartScanning,Start Scanning
StoreLogin,Store Log In
TakeCash,Take Your Returned Cash
TakeChange,Take Change
TakeReceipt,Take Receipt
Tax,Tax
TimeRestrictedItem,Time Restricted Item
Total,Total
TouchCancel,Touch cancel on pinpad to cancel payment.
TryAgain,Try Again
UnexpectedDecreaseMessage,Return item to bag area.
UnexpectedIncreaseMessage,Remove item from bag area.
UsePinpad,Use Pinpad
VoidItem,"Scan unwanted items, or tap\n""Remove"" on the receipt."
Volume,Volume
Yes,Yes
ItemNumberAmount,NOI :  
WeightExpected,WE :  
WeightObserved,WO :  
UnknownPriceMessage,"Item's price is unknown.\nHelp is on the way.\n\nSet item aside and continue."
SetAllItemsAsideMessage,Entire purchase cancelled.\n\nSet all items aside.
ConfirmAbortMessage,Are you sure you want to Empty Cart? The transaction will be cancelled.
NoKeep,"No, keep."
NoReturn,"No, return to transaction."
YesEmpty,"Yes, empty cart and end transaction."
YesRemove,"Yes, remove."
HostOfflineMessage,The Lane is offline and the system is attempting to reconnect.
LaneClosedMessage,Lane Closed
LoadingText,Loading
VerifyBagsMessage,"If you have accidentally placed something other than a bag in the bagging area, please remove it now."
HelpOnWay,Help is on the way.  Please continue.
OwnBagMessage,Please place your bags on the scale.
UseOwnBag,"I'm using my own bag"
AttendantMode,Attendant Mode
AttendantTrainingMode,Attendant & Training Mode
TrainingMode,Training Mode
ScaleBroken,"Remove item from scale and press \n""Scale Zero"" button on scanner."
Refunded,Refunded:
EnterIDMessage,"Key in your user ID and touch ""Enter""."
EnterIDText,Enter ID
EnterPasswordMessage,"Key in your password and touch ""Enter""."
EnterPasswordText,Enter Password
VisualVerify,Visual Verify
SingleItemAddedFormat,{0} item to be added to cart.
Approved,Approved
