AmountSaved,ਅਮਾਉਂਟ ਸੇਵ ਹੋ ਗਿਆ
Assistance,ਸਹਾਇਤਾ
AssistanceComing,"ਸਹਾਇਤਾ ਆ ਰਹੀ ਹੈ, ਕਿਰਪਾ ਕਰਕੇ ਜਾਰੀ ਰੱਖੋ"
Back,ਵਾਪਸ ਜਾਓ
BagItem,ਕਿਰਪਾ ਇਸ ਚੀਜ਼ ਨੂੰ ਬੈਗ ਵਿੱਚ ਪਾਓ।
BagItemCart,ਆਈਟਮ ਬੈਗ ਵਿਚ ਪਾਓ
BagItemOrSkip,"ਕਿਰਪਾ ਇਸ ਚੀਜ਼ ਨੂੰ ਬੈਗ ਵਿੱਚ ਪਾਓ, ਜਾਂ ਛੱਡਣ ਦੀ ਚੋਣ ਕਰੋ।"
CallForHelp,ਮਦਦ ਲਈ ਕਾਲ ਕਰੋ?
Cancel,ਕੈਂਸਲ ਕਰੋ
CancelAll,ਸਭ ਕੈਂਸਲ ਕਰੋ
CancelCoupons,ਕੂਪਨ ਕੈਂਸਲ ਕਰੋ
CancelPayment,ਭੁਗਤਾਨ ਕੈਂਸਲ ਕਰੋ
CantScanCoupon,ਕੂਪਨ ਸਕੈਨ ਨਹੀਂ ਹੋ ਸਕਦਾ
CartPay,ਭੁਗਤਾਨ ਕਰੋ
Change,ਚੇਂਜ:
Confirm,ਕੀ ਤੁਸੀਂ ਆਪਣੀ ਪੂਰੀ ਖਰੀਦ ਨੂੰ ਰੱਦ ਕਰਨਾ ਚਾਹੁੰਦੇ ਹੋ?
ConfirmQuantity,ਕੀ {0} ਸਹੀ ਹੈ?
Continue,ਕੀ ਤੁਸੀਂ ਜਾਰੀ ਰੱਖਣਾ ਚਾਹੁੰਦੇ ਹੋ?
CouponMessage,ਫਿਲਹਾਲ ਕੂਪਨ ਇੱਕ ਪਾਸੇ ਰੱਖ ਦਿਓ।. ਖਰੀਦਾਰੀ ਦੇ ਅੰਤ ਵਿਚ ਉਹਨਾਂ ਨੂੰ ਜਮ੍ਹਾਂ ਕਰੋ।
DepositCard,ਕ੍ਰਿਪਾ ਕਰਕੇ ਆਪਣਾ ਖਾਲੀ ਹੋਇਆ ਗਿਫ਼ਟ ਕਾਰਡ ਕੂਪਨ ਸਲਾਟ ਵਿਚ ਜਮ੍ਹਾਂ ਕਰੋ।
DepositCoupon,ਕੂਪਨ ਜਮ੍ਹਾਂ ਕਰੋ
DepositGiftCard,ਗਿਫ਼ਟ ਕਾਰਡ ਜਮ੍ਹਾਂ ਕਰੋ
Disconnected,ਕਕ੍ਰਿਪਾ ਉਡੀਕ ਕਰੋ।...
Done,ਹੇ ਗਿਆ
Due,ਦੇਣਯੋਗ:{0}
EditCart,ਕਾਰਟ ਨੂੰ ਐਡਿਟ ਕਰੋ
Enter,ਭਰੋ
EnterAmount,ਅਮਾਉਂਟ ਭਰੋ
EnterCouponValue,"ਸੈਂਟਾਂ ਵਿੱਚ ਕੂਪਨ ਦਾ ਮੁੱਲ ਦਰਜ ਕਰੋ ਅਤੇ ""OK"" ਤੇ ਟੱਚ ਕਰੋ"
