AgeCheckLaneButtonText,Age Check
AgeRestrictedText,Age restricted item; %2d yrs old
AlertStatusTextOff,
AlertStatusTextOn,!!!
AlertText,Alerts:
AllowSuspendButtonText,Allow Suspend
AMItemQuantityExceededTitle,Quantity Limit
AmountSaved,Valor Poupado
AM_RestrictedNotAllowedLeadthru,Restricted item has been cancelled - age limit not met.\n\nPlease set item aside.
AM_RestrictedNotAllowedTitle,Restricted Item
ApprovalNeededButtonText,Approval Needed
ApprovalNeededText,Approvals Needed:
ApprovalNeededTitle,Aprovação Necessária
ApproveAndCollectButtonText,Approve & Collect
ApproveButtonText,Approve
ApproveCouponButtonText,Approve Coupon
Approved,Aprovado
ApproveNoUpdateButtonText,Approve/No Update.
ApproveSecurityButtonText,Approve \nSecurity
ApproveUpdateButtonText,Approve & Update Weight
ApproveVoidButtonText,Approve Void
Assistance,Assistência
AssistanceComing,"Vai receber assistência, continue."
AssistanceNeededTitle,Assistência Necessária
AssistedEndorsementLeadthru,Endorsement Needed. Please wait for operator assistance.
AssistedTenderHHLeadthru,Use the Attendant Station to accept payment.
AssistedTenderLeadthru,Use assist mode to accept check from customer.
AssistedTenderTitle,Operator Assisted Tender
AssistModeButtonText,Assist Mode
AttendantMode,Modo de Assistente
AttendantTrainingMode,Modo de Assistente e de Treino
Back,Voltar
BackSpaceButtonText,Backspace
BagAreaBackupLeadthru,Clear backed up items on belt.
BagAreaBackupTitle,Backed Up Items on Belt
BagItem,Coloque este item no saco.
BagItemCart,Ensacar Artigo
BagItemOrSkip,"Coloque este item no saco, ou escolha saltar este passo."
BagItemTimerExpiredTitle,Weight expected on security scale.
BasicAssistModeLeadthru,Scan item or select function.
BasicAssistModeTitle,Assist Functions
BirthdateEnterText,"Birthdate entered:%2d/%2d/%4d,%d years old"
BirthDateOver30ButtonText,Birthdate over 30
CalibrateConfirm,Are you sure you want to calibrate the touch screen?
CallForHelp,Pedir Ajuda?
Cancel,Cancelar
CancelActionButtonText,Cancel Action
CancelAll,Cancelar Tudo
CancelButtonText,Cancel
CancelCoupons,Cancelar Cupões
CancelItems,Cancelar Artigos
CancelPayment,Cancelar Pagamento
CancelRequestButtonText,Cancel Request
CancelSuspendButtonText,Cancel Suspend
CancelSuspendDeclinedButtonText,Go Back
CancelSuspendNowButtonText,Cancel Suspend \nNow
CancelSuspendRequestButtonText,Cancel Suspend \nRequest
CancelSuspendText,Cancel Suspend
CancelTransactionGenericLeadthru,"Touch ""Yes"" to cancel transaction or touch ""No"" to resume transaction."
CancelTransactionGenericTitle,Cancel Transaction
CantScanCoupon,Não consigo passar um cupão no leitor
CartPay,Pagar
Change,Troco:
ChangePriceButtonText,Price Change
ChangePriceTitle,Change Price
ChangeQuantityButtonText,Quantity Change
ChangeQuantityTitle,Change Quantity
CheckAgeLeadthru,"Key in birth date %s and touch ""Enter""."
CheckAgeTitle,"Check Customer's Age"
CheckBasketTitle,Verificar Cesto
ClearApprovalsButtonText,Clear Approvals
ClearButtonText,Clear
ClearRequestButtonText,Clear Request
ClearSecurityButtonText,Clear Security
ClearSecurityFinalizationButtonText,Clear Security
CloseAllConfirm,Are you sure you want to exit all applications and go to the desktop?
CloseButtonText,Close
ClosedLaneLeadthru,Lane Closed
ClosedLaneTitle,Go to lane and log into Store Mode to open lane.
CloseLaneButtonText,Close Lane
CollapseReceiptButtonText,Collapse Receipt
CollectGiftCardTitle,Collect Gift Card
CommandPromptConfirm,Are you sure you want to start the Command Prompt?
CommandPromptPrimaryTxt,Command Prompt
CompareSignatureLeadthru,"Compare signatures and touch ""Approve"", or ""Sign Again""."
CompareSignatureTitle,Compare Signatures
Confirm,Deseja cancelar a compra por completo?
ConfirmAbortLeadthru,Do you want to stop checking out and cancel your entire purchase?
ConfirmAbortMessage,Tem a certeza de que quer Esvaziar o Carrinho? A transação será cancelada.
ConfirmAbortTitle,Cancelar Todos os Artigos
ConfirmAllowSuspendButtonText,Confirm Allow \nSuspend
ConfirmDebitAmountTitle,Confirmar Valor
ConfirmEBTAmountTitle,Confirmar Valor
ConfirmQuantity,Is {0} correcto?
ConfirmQuantityTitle,Confirmar Quantidade
ConfirmSuspendButtonText,Confirm Suspend
ConfirmSuspendDeclinedButtonText,Confirm Decline
ConfirmSuspendDeclinedLeadthru,Confirm or Cancel Suspension Decline.
ConfirmSuspendFromLaneStatusLeadthruText,Confirm or cancel suspend.
ConfirmSuspendLeadthru,Confirm Suspend.
ConfirmSuspendNowButtonText,Confirm Suspend \nNow
ConfirmSuspendRequestButtonText,Confirm Suspend \nRequest
ConfirmSuspendTitle,Suspend:
ConfirmVoidTitle,Confirmar Cancelamento
ConnectingLeadthru,Connecting to NCR SelfServ Checkout...Please wait
ConnectingText,Connecting...Please Wait
ConnectingWaitingText,"Please wait, connecting to NCR SelfServ Checkout..."
Continue,Deseja prosseguir?
ContinueTitle,Continuar?
ContinueTransLeadthru,Would you like to continue with your purchase?
ContinueTransTitle,Continuar?
CouponApprovalLeadthru,"Accept coupons from customer at the approval station and touch ""Approve""."
CouponCollectionText,Coupon Collection
CouponExceededLimitFinalizationLeadthru,The transaction was finalized using a coupon that exceeds the store coupon limit.
CouponExceededLimitLeadthru,"Touch ""Approve Coupon"" to accept the coupon or go to Assist Mode to void it."
CouponLaneButtonText,Coupon
CouponLimitExceededLeadthru,"Touch ""Approve"" to allow coupon deposit at lane or touch ""Approve & Collect"" and collect from customer."
CouponLimitExceededTitle,Coupon Limit Exceeded
CouponMessage,Ponha os cupões de parte. Deposite-os no final da compra.
CouponNoMatchLeadthru,Coupon does not match any item on receipt. This coupon cannot be accepted.
CouponNoMatchTitle,Cupão Desconhecido
CouponReceiptText,%d coupons totaling $%.2f
CouponText,Coupons:
CouponTooHighLeadthru,The amount you entered for this coupon was too high.  This system cannot accept this coupon.
CouponTooHighTitle,Cupão Demasiado Elevado
CrateableItemTitle,Comprar Caixa
CustomerAgreementButtonText,Customer Agreement
DateFormat1,(mmddyyyy)
DateFormat2,(mmddyy)
DateFormat3,(ddmmyyyy)
DateFormat4,(ddmmyy)
DateFormat5,(yyyymmdd)
DateFormat6,(yymmdd)
DateOfBirthNotNeededButtonText,Date not needed
DeactivateLeadthru,"Deactivate item or remove hard tag and touch ""Clear Security""."
DepositCard,Deposite o cartão oferta usado na ranhura de cupões.
DepositCoupon,Depositar Cupões
DepositGiftCard,Depositar Cartão Oferta
DeviceFailureLeadthru,Go to lane and check device.
DeviceFailureTitle,Device Malfunction
DiagConfirm,Are you sure you want to generate Diagnostic Log Files?
DisableHHRapApprovalText, Disable HHRAP Approval
DisableRapApprovalText, Disable RAP Approval
Disconnected,"POR FAVOR, AGUARDE..."
DisconnectedTitle,Desligado
Done,Terminado
DoneButtonText,Terminado
DoNotApproveButtonText,Do Not Approve
DropoffCouponsTitle,Entrega Cupões.
Due,Devido:{0}
DueCart,Devido
EASText,EAS Item still active
EditCart,Editar Carrinho
Enter,Enter
EnterAmount,Inserir Valor
EnterButtonText,Enter
EnterCouponValue,"Introduza o valor do cupão em cêntimos e toque em ""OK"""
EnterCouponValueLeadthru,"Enter coupon's value in cents and touch ""Enter""."
EnterCouponValueTitle,Inserir Valor do Cupão
EnterDataLaneButtonText,Enter Data
EnterId,Introduza o seu ID.
EnterIDFpLeadthru,"Key in your user ID and touch ""Enter"", or place your finger on the fingerprint reader to log in."
EnterIDLeadthru,Enter ID using keypad below.
EnterIDMessage,"Insira a sua ID de utilizador e toque em ""Enter""."
EnterIDText,Inserir ID
EnterPassword,Introduza a sua palavra-passe.
EnterPasswordLeadthru,Enter password using keypad below.
EnterPasswordMessage,"Insira a sua senha e toque em ""Enter""."
EnterPasswordText,Inserir Senha
EnterPin,Inserir PIN
EnterPriceLeadthru,"Key in item's price and touch ""Enter""."
EnterPriceTitle,Price Entry
EnterQuantity,Que quantidade tem?
EnterQuantityLeadthru,"Key in the quantity and touch ""Enter""."
EnterQuantityTitle,Quantidade Necessária
EnterWeight,Coloque o item na balança:
EnterWeightLeadthru,Go to the lane and place item on scale.
EnterWeightTitle,Pesar Artigo
EventViewerBtnPrimaryTxt,Event Viewer
EventViewerConfirm,Are you sure you want to start the Event Viewer?
Exit,Exit All
ExitFastLaneAndRunProfileBtnPrimaryTxt,Stop SelfServ Checkout and Run Profile Manager
ExitFastLaneAndRunProfileBtnSecondaryTxt,Run Profile Manager
ExitRAPAndRunProfileBtnPrimaryTxt,Stop RAP and Run Profile Manager
ExitRAPAndRunProfileBtnSecondaryTxt,Run Profile Manager
ExitText,Exit
ExpandReceiptButtonText,Expand Receipt
FeesAndCustomerAgreementsLeadthru,Fees & Customer Agreements
FeesAndCustomerAgreementsTitle,Fees && Customer Agreements:
FeesButtonText,Fees
Finish,Obrigado por nos ter escolhido.
FinishAndAdd,Terminar e Calcular Total
FixLaterButtonText,Fix Later
FullAssistButtonText,Full Assist
GenerateLogBtnPrimaryTxt,Generate Diagnostic Log Files
GetDiagFilesButtonText,Get Diag Files
GiftCard,Saldo do Cartão de Oferta
GoBack,Voltar
GoBackButtonText,Go Back
GoBackCouponButtonText,Go Back
GoToLaneLeadthru, Please go to Lane for approval
GoToLaneOrHHRapLeadthru, Please go to Lane or HHRap for approval
GoToLaneOrRapLeadthru, Please go to Lane or Rap for approval
HelpLaneButtonText,Help
HelpOnWay,Vai receber ajuda. Continue.
HelpRequestLeadthru,"Touch ""Cancel Request"" after helping customer."
HelpRequestTitle,Help Requested
HH_AM_RestrictedNotAllowedLeadthru,Restricted item cancelled - age limit not met. \n\nSet item aside.
HH_AssistAtLaneLeadthru,Go to the Lane to void items.
HH_AssistedEndorsementLeadthru,Endorsement Needed. Wait for operator assistance.
HH_CancelTransactionGenericLeadthru,"Yes to cancel transaction or ""No"" to resume."
HH_CheckAgeLeadthru,"Key in birth date %s and touch ""Enter""."
HH_CompareSignatureLeadthru,"Compare signatures and ""Approve"", or ""Sign Again""."
HH_ConfirmAbortLeadthru,Stop checking out and cancel entire purchase?
HH_ContinueTransLeadthru,Continue with your purchase?
HH_CouponApprovalLeadthru,"Accept coupons from customer and ""Approve""."
HH_CouponLimitExceededLeadthru,"Approve for coupons at lane or ""Approve & Collect"" to collect from customer."
HH_CouponNoMatchLeadthru,Coupon does not match any item on receipt. Coupon not accepted.
HH_CouponTooHighLeadthru,Coupon amount too high. System cannot accept.
HH_DeactivateLeadthru,"Deactivate item or remove hard tag and ""Clear Security""."
HH_EnterPriceLeadthru,"Key in item's price and ""Enter""."
HH_EnterQuantityLeadthru,"Key in the quantity and ""Enter""."
HH_HelpRequestLeadthru,Cancel Request after helping customer.
HH_HostOfflineLeadthru,Lane is offline. System attempting to reconnect.
HH_IncorrectItemWeightLeadthru,"Remove item and ""Clear Security"", or ""Approve & Update Weight""."
HH_InvalidBarcodeLeadThru,"Collect item, Touch ""Approve"" to continue transaction."
HH_InvalidBirthDateFormatLeadthru,Date format is invalid \nEnter in %s format.
HH_ItemNotForSaleLeadthru,"Collect item at lane and ""Clear Security""."
HH_ItemQuantityExceededLeadthru,Quantity allowed exceeded. \n\nSet item aside and continue.
HH_KeyInCodeLeadthru,"Key in the item's code and ""Enter""."
HH_MultiPackItemLeadthru,"If multi-pack, ""Assist Mode"", void, then scan multi-pack barcode."
HH_NewWeightItemLeadthru,"Verify weight and ""Approve & Update Weight"", or ""Approve/No Update""."
HH_NoInterventionLeadthru,No Intervention is required.
HH_OffLineLeadthru,Lane is offline. System attempting to reconnect.
HH_OutOfSyncNeedAssistLeadthru,"POS out-of-sync, ""Assist Mode"" to resynchronize."
HH_OutOfSyncStopLeadthru,"POS server down or out-of-sync, shutdown terminal using switch."
HH_ReEnterIDLeadthru,Incorrect ID or password. Please re-enter on keypad.
HH_ReturnToShoppingButtonText,Return
HH_SafetyCoverOpenLeadthru,Remove all items from belt. Close safety cover.
HH_ScaleBrokenLeadthru,"Remove item from scale and ""Scale Zero"" on scanner."
HH_SelectContainerLeadthru,"Select container from list and ""Enter""."
HH_SkipBaggingBtnThresholdLeadthru,"Check items at lane and ""Clear Security""."
HH_SuspendLeadthru1,Suspend current transaction? Confirm or Cancel.
HH_SuspendLeadthru2,"Current transaction suspended. Confirm. To cancel, touch ""Go Back"" and cancel."
HH_SuspendTransactionButtonText,Suspend Trans
HH_SuspendTransactionLeadthru,"Touch ""Suspend Trans"" to suspend transaction."
HH_TMTransLeadthru,"Lane is in training mode,\ncontinue with the transaction?"
HH_TransactionCancelLeadThru,Transaction cancelled. Remove items from checkstand.
HH_TransactionCancelLeadThru2,Transaction cancelled.
HH_TransactionCancelTitle,Transaction Cancel
HH_UnexpectedIncreaseLeadthru,"Remove extra items at lane and ""Clear Security""."
HH_UnknownItemLeadthru,"Collect item, ""Clear Security"", or ""Assist Mode"" to complete."
HH_UnknownItemLeadthru2,"Collect item, ""Clear Security"", or use ""Assist Mode"" at Lane to complete."
HH_UpdateItemLeadthru,"Scroll to item on receipt and ""Enter""."
HH_UpdateNotAllowedLeadthru,Quantity change not allowed.
HH_VerifySignatureLeadthru,"Compare customer's signature with one on card."
HH_VisualApproveLeadthru,"Visual Approve, or ""Assist Mode"" to modify transaction."
HH_VisualApproveLeadthru2,"Visual Approve, or ""Assist Mode"" at Lane to modify."
HH_VoidItemLeadthru,"Scan or scroll to item on receipt. ""Void Item"" or ""Void All""."
HH_VoidLeadthru,"Collect voided item and ""Approve Void""."
HH_VoidNoMatchLeadthru,Cannot find scanned item. Item not purchased or was cancelled.
HopperLaneButtonText,Coin Substitution
HopperLeadThru,"%sGo to lane and refill coins or clear jam or touch ""Fix Later"" to continue"
HostOfflineLeadthru,The Lane is offline and the system is attempting to reconnect.
HostOfflineMessage,A caixa está desligada e o sistema está a tentar restabelecer a ligação.
IncorrectItemWeightLeadthru,"Remove item and touch ""Clear Security"", or touch ""Approve & Update Weight""."
IncorrectItemWeightTitle,Incorrect weight on security scale.
IncorrectLogin,Incorrect operator number\nand password.\nPlease try again.
IncorrectLoginTitle,Número Incorrecto
InitialText,.
InsertCash,Inserir Dinheiro
InsertCoupon,Inserir Cupão
InsertCouponTimerExpiredTitle,Insert Coupon
InsufficientBalanceTitle,Saldo insuficiente
InterfaceVersion,Software version: 
InvalidBarcodeLaneButtonText,Verify Item
InvalidBarcodeLeadThru,"Collect item at lane and touch ""Approve"" to continue transaction."
InvalidBarcodeScan,Coloque o artigo de parte e prossiga com a compra.
InvalidBirthDateFormatLeadthru,Format of Date Entered is invalid \nEnter again in %s format.
Item,{0} item
ItemNotForSaleLeadthru,"Collect item at lane and touch ""Clear Security""."
ItemNotForSaleTitle,Item Not For Sale
ItemNumberAmount,NOI :  
ItemPurchasedText,Items Purchased:
ItemQuantityExceeded,Limite de Quantidade\nExcedido
ItemQuantityExceededLeadthru,You have exceeded the quantity allowed for this item.  Please set it aside and continue.
ItemQuantityExceededTitle,Item Quantity Exceeded
Items,{0} itens
ItemsAddedFormat,{0} itens a adicionar ao carrinho.
ItemsForgottenTitle,Weight remains\non bag scale.
ItemText,Items:
KeyInBirthDateButtonText,Key in date
KeyInCodeButtonText,Key In \nCode
KeyInCodeLeadthru,"Key in the item's code and touch ""OK""."
KeyInCodeTitle,Key In Code
KeyInPriceLeadthru,Key in price for: %d %s
KeyInQuantityLeadthru,Key in quantity for: %s
KeySwitchOperatorID,Keylock
LaneClosedMessage,Caixa Fechada
LaneNumberText,Lane: %d
LaneReceiptItemType1,%s\t%s
LaneReceiptItemType2,%s
LaneReceiptItemType3,%s\t%s\tQty %s @ %s/each\t%s
LaneReceiptItemType4,%s\t%s\tQty %s @ %s/%s\t%s
LaneReceiptItemType5,%s\t%s\t%ss @ %s %s/%s\t%s
LaneReceiptItemType6,%s\t%s\t%ss @ %s/%s\t%s
LaneReceiptItemType7,    %s
LaneStatusLeadthru,Select function.
LaneStatusTitle,Lane Status
LaneText,Lane
Language,Idioma
LaunchPadNet_BackSpaceButtonText,Backspace
LaunchPadNet_ClearButtonText,Clear
LaunchPadNet_EnterButtonText,Enter
LaunchPadNet_EnterIDFpLeadthru,"Key in your user ID and touch ""Enter"", or place your finger on the fingerprint reader to log in."
LaunchPadNet_EnterIDLeadthru,Enter ID using keypad below:
LaunchPadNet_EnterPasswordLeadthru,Enter password using keypad below:
LaunchPadNet_GoBackButtonText,Go Back
LaunchPadNet_LoggingInLeadthru,Logging in...Please wait
LaunchPadNet_OperatorIDText,Operator ID: 
LaunchPadNet_ReEnterIDFpLeadthru,Invalid login. Please login again using the keypad or your fingerprint.
LaunchPadNet_ReEnterIDLeadthru,Incorrect ID or password. Please re-enter using keypad below.
LaunchPadNet_ReturnToShoppingButtonText,Return
LaunchPadNet_ShiftButtonText,Shift
LaunchPadNet_SignedOffButtonText,Signed Off
LaunchPadNet_SignOffButtonText,Sign Off
LaunchPadNet_SignOnButtonText,Sign On
LaunchPadNet_SpaceButtonText,Space
