AmountSaved,Avdragen rabatt
Assistance,Hjälp
AssistanceComing,Hjälp kommer. Du kan fortsätta under tiden.
Back,Gå tillbaka
BagItem,Lägg den här varan i kassen.
BagItemCart,Packa varan
BagItemOrSkip,Lägg den här varan i kassen eller välj att inte packa.
CallForHelp,Tillkalla hjälp?
Cancel,Avbryt
CancelAll,Ta bort alla
CancelCoupons,Ta bort kuponger
CancelPayment,Avbryt betalning
CantScanCoupon,Kan inte läsa in kupong
CartPay,Betala
Change,Växel:
Confirm,Vill du avbryta dina inköp och inte köpa något alls?
ConfirmQuantity,Är {0} rätt?
Continue,Vill du fortsätta?
CouponMessage,Lägg kupongerna åt sidan så länge. Lägg fram dem när du är klar med dina inköp.
DepositCard,Lägg det använda presentkortet i kupongfacket.
DepositCoupon,Lägg fram kupongerna
DepositGiftCard,Lägg fram presentkortet
Disconnected,VÄNTA…
Done,Klart
Due,Att betala:{0}
EditCart,Redigera varukorgen
Enter,Enter
EnterAmount,Ange belopp
EnterCouponValue,"Ange kupongvärdet i ören och tryck på ""OK"""
EnterId,Ange ditt ID.
EnterPassword,Ange ditt lösenord.
EnterPin,Ange PIN-kod
EnterQuantity,Hur många har du?
EnterWeight,Placera varan på vågen:
Finish,Tack för att du handlar hos oss.
FinishAndAdd,Avsluta och lägga till
GiftCard,Presentkortssaldo
GoBack,Gå tillbaka
IncorrectLogin,Fel personal-ID \noch lösenord.\nFörsök igen.
InsertCash,Betala med kontanter
InsertCoupon,Mata in kupongen
InvalidBarcodeScan,Lägg varan åt sidan och fortsätt \nmed dina inköp.
Item,{0} för stor kvantitet
Items,{0} för stor kvantitet
ItemsAddedFormat,{0} varor ska  läggas till i varukorgen.
Language,Språk
NCRCorp,NCR Corp
No,Nej
OK,OK
Or,eller
OtherPayment,Annan betalning
OtherPaymentMethod,Andra betalningsmetoder
OwnBag,Egen kasse
Paid,Betalat:{0}
PayAnotherWay,Betala på annat sätt
PointsEarned,Intjänade poäng
PrintReceipt,Skriv ut kvitto
Proceed,Fortsätt.
Remove,Ta bort
RemovedItem,Jag tog bort varan
RestrictedItem,Vara med åldersbegränsning
ReturnToScan,Gå tillbaka
ScanAndBag,"Skanna, sök efter eller slå in varukoden för att starta."
ScanCoupon,Läs in kuponger
ScanGiftCard,Skanna presentkort
ScanNextItem,Skanna nästa vara.
ScanVoucher,Läs in kuponger
SearchResultsFor,"Sökresultat för ""{0}"""
SearchWatermark,Ange varunamn eller varukod
SearchItemNameWatermark,Enter Item Name
SearchKeyInItem,Sök efter eller slå in varan
SelectCashBack,Välj valör för uttaget
SelectLanguage,Välj språk
SelectPaymentType,Välj betalningssätt
SellBags,Hur många plastkassar har du använt? Ange 0 om du inte har använt någon.
SignNeeded,Signatur behövs
SignSignature,Signera på signaturplattan.
SkipBagging,Packa inte
Space,Blanksteg
StartScanning,Börja skanna
StoreLogin,Pers.inloggn
TakeCash,Ta din växel
TakeChange,Ta växeln
TakeReceipt,Ta kvittot
Tax,Moms
TimeRestrictedItem,Tidsbegränsade varor
Total,Summa
TouchCancel,Tryck på Avbryt på PIN-knappsatsen för att avbryta betalningen.
TryAgain,Försök igen
UnexpectedDecreaseMessage,Ställ tillbaka varan på packhyllan.
UnexpectedIncreaseMessage,Ta bort varan från packhyllan.
UsePinpad,Använd PIN-knappsatsen
VoidItem,"Läs in varorna som du vill ta bort eller tryck på ""Ta bort"" på kvittot."
Volume,Ljudvolym
Yes,Ja
ItemNumberAmount,NOI :  
WeightExpected,WE :  
WeightObserved,WO :  
UnknownPriceMessage,Priset på varan är okänt.\nHjälp är på väg.\n\nStäll varan åt sidan och fortsätt.
SetAllItemsAsideMessage,Alla inköp har avbrutits.\n\nLägg alla varorna åt sidan.
ConfirmAbortMessage,Är du säker på att du vill tömma varukorgen? Transaktionen avbryts.
NoKeep,"Nej, behåll."
NoReturn,"Nej, återgå till transaktionen."
YesEmpty,"Ja, töm varukorgen och avsluta transaktionen."
YesRemove,"Ja, ta bort."
HostOfflineMessage,Kassan är offline och systemet försöker att ansluta.
LaneClosedMessage,Kassan stängd
LoadingText,Laddar
VerifyBagsMessage,Har du råkat ställa något annat än en kasse på packhyllan tar du bort det nu.
HelpOnWay,Hjälp är på väg. Du kan fortsätta.
OwnBagMessage,Ställ dina kassar på vågen.
UseOwnBag,Kasse/Låda
AttendantMode,Personalläge
AttendantTrainingMode,Personal- och övningsläge
TrainingMode,Training Mode
ScaleBroken,"Ta bort varan från vågen och tryck på \n"">0<"" på avläsningsenheten."
Refunded,Återbetalt:
EnterIDMessage,"Slå in användar-ID och tryck på ""Enter""."
EnterIDText,Ange ditt ID.
EnterPasswordMessage,"Slå in lösenordet och tryck på ""Enter""."
EnterPasswordText,Ange lösenord
VisualVerify,Visuell kontroll
