AmountSaved,จำนวนที่ประหยัด
Assistance,ความช่วยเหลือ
AssistanceComing,กำลังส่งความช่วยเหลือมา โปรดทำต่อ
Back,กลับไป
BagItem,โปรดนำรายการนี้ใส่ถุง
BagItemCart,บรรจุสินค้าใส่ถุง
BagItemOrSkip,โปรดนำรายการนี้ใส่ถุงหรือเลือกข้าม
CallForHelp,ขอความช่วยเหลือ?
Cancel,ยกเลิก
CancelAll,ยกเลิกทั้งหมด
CancelCoupons,ยกเลิกคูปอง
CancelPayment,ยกเลิกการชำระเงิน
CantScanCoupon,ไม่สามารถสแกนคูปอง
CartPay,ชำระเงิน
Change,เงินทอน:
Confirm,ต้องการยกเลิกการซื้อทั้งหมดไหม
ConfirmQuantity,{0} ถูกต้อง?
Continue,ต้องการทำต่อไหม
CouponMessage,แยกคูปองออกตอนนี้ ยื่นคูปองเมื่อซื้อสินค้าเสร็จสิ้นแล้ว
DepositCard,โปรดฝากบัตรของขวัญที่ใช้หมดแล้วในช่องคูปอง
DepositCoupon,ใส่คูปอง
DepositGiftCard,ฝากบัตรของขวัญ
Disconnected,โปรดรอ...
Done,เสร็จสิ้น
Due,จำนวนที่ต้องจ่าย:{0}
EditCart,แก้ไขรถเข็น
Enter,ป้อน
EnterAmount,ป้อนจำนวน
EnterCouponValue,"กรอกมูลค่าคูปองเป็นบาท แล้วแตะ ""OK"""
EnterId,กรอก ID
EnterPassword,กรอกรหัสผ่าน
EnterPin,ป้อน PIN
EnterQuantity,มีรายการอยู่เท่าไรแล้ว
EnterWeight,วางรายการบนตาชั่ง:
Finish,ขอขอบคุณที่อุดหนุนเรา
FinishAndAdd,ทำเสร็จและเพิ่ม
GiftCard,ยอดบัตรกำนัล
GoBack,กลับไป
IncorrectLogin,หมายเลขและรหัสผ่านผู้ดำเนินการไม่ถูกต้อง\n\nโปรดลองอีกครั้ง
InsertCash,ใส่เงินสด
InsertCoupon,ใส่คูปอง
InvalidBarcodeScan,แยกสินค้าออกแล้วซื้อสินค้าต่อ
Item,{0} รายการ
Items,{0} รายการ
ItemsAddedFormat,{0} รายการที่เพิ่มลงรถเข็น
Language,ภาษา
NCRCorp,NCR Corp
No,ไม่
OK,OK
Or,หรือ
OtherPayment,การชำระเงินวิธีอื่น
OtherPaymentMethod,วิธีชำระเงินอื่นๆ
OwnBag,ถุงของตนเอง
Paid,ชำระเงินแล้ว:{0}
PayAnotherWay,ชำระเงินทางอื่น
PointsEarned,คะแนนที่ได้รับ
PrintReceipt,พิมพ์ใบเสร็จรับเงิน
Proceed,ดำเนินการต่อ
Remove,ลบ
RemovedItem,ฉันลบรายการออก
RestrictedItem,สินค้าที่จำกัด
ReturnToScan,กลับไป
ScanAndBag,สแกน ค้นหา หรือกรอกรหัสรายการเพื่อเริ่ม
ScanCoupon,สแกนคูปอง
ScanGiftCard,สแกนบัตรกำนัล
ScanNextItem,โปรดสแกนรายการต่อไป
ScanVoucher,สแกนเวาเชอร์
SearchResultsFor,"ค้นหาผลลัพธ์สำหรับ ""{0}"""
SearchWatermark,กรอกชื่อหรือรหัสรายการ
SearchItemNameWatermark,Enter Item Name
SearchKeyInItem,ค้นหาหรือกรอกรายการ
SelectCashBack,เลือกจำนวนเงินสดที่คืน
SelectLanguage,เลือกภาษา
SelectPaymentType,เลือกประเภทการชำระเงิน
SellBags,คุณใช้ถุงพลาสติกไปกี่ใบ กรอก 0 หากไม่ได้ใช้เลย
SignNeeded,ต้องมีลายมือชื่อ
SignSignature,เซ็นแผ่นเซ็นชื่อ
SkipBagging,ข้ามการนำใส่ถุง
Space,Space
StartScanning,เริ่มการสแกน
StoreLogin,เข้าสู่ระบบร้านค้า
TakeCash,รับเงินสดที่จ่ายคืน
TakeChange,รับเงินทอน
TakeReceipt,รับใบเสร็จรับเงิน
Tax,ภาษี
TimeRestrictedItem,สินค้าที่จำกัดเวลา
Total,รวม
TouchCancel,แตะยกเลิกที่ Pinpad เพื่อยกเลิกการชำระเงิน
TryAgain,ลองอีกครั้ง
UnexpectedDecreaseMessage,คืนรายการในส่วนใส่ถุง
UnexpectedIncreaseMessage,นำรายการออกจากส่วนใส่ถุง
UsePinpad,ใช้ Pinpad
VoidItem,"สแกนรายการที่ไม่ต้องการหรือแตะ ""ลบ"" ที่ใบเสร็จ"
Volume,เสียง
WeightMismatch,ตรวจสอบน้ำหนักรายการ โปรดรอสักครู่…
Yes,ใช่
ItemNumberAmount,NOI :  
WeightExpected,WE :  
WeightObserved,WO :  
UnknownPriceMessage,ไม่รู้ราคารายการ ความช่วยเหลือกำลังมา ตั้งรายการแยกไว้และทำต่อ
SetAllItemsAsideMessage,ยกเลิกการซื้อทั้งหมด\n\nแยกสินค้าทั้งหมดออก
ConfirmAbortMessage,แน่ใจไหมว่าต้องการล้างรถเข็น เราจะยกเลิกธุรกรรม
NoKeep,ไม่ เก็บไว้
NoReturn,ไม่ กลับไปยังธุรกรรม
YesEmpty,ใช่ ล้างรถเข็นแล้วจบธุรกรรม
YesRemove,ใช่ นำออก
HostOfflineMessage,ช่องจ่ายเงินออฟไลน์อยู่ในขณะนี้และระบบกำลังพยายามเชื่อมต่อใหม่
