AmountSaved,Kazanılan Tutar
Assistance,Yardım
AssistanceComing,"Yardım geliyor, lütfen bekleyin."
Back,Geri Git
BagItem,Lütfen bu ürünü poşetleyin.
BagItemCart,Ürünü Paketle
BagItemOrSkip,Lütfen bu ürünü poşetleyin veya bu adımı atlayın.
CallForHelp,Yardım İste?
Cancel,İptal Et
CancelAll,Tümünü İptal Et
CancelCoupons,Kuponları İptal Et
CancelPayment,Ödemeyi İptal Et
CantScanCoupon,Kupon Taranamıyor
CartPay,Ödeme yap
Change,Para üstü:
Confirm,Ödemeyi durdurup satın alma işleminizi iptal etmek istiyor musunuz?
ConfirmQuantity,{0} doğru mu?
Continue,Devam etmek istiyor musunuz?
CouponMessage,Kuponları şimdilik kenara koyun.Kuponlarınızı satın alma işlemi sonunda teslim edin.
DepositCard,Lütfen boşalan hediye kartınızı kupon yuvasına yerleştirin.
DepositCoupon,Kuponları Okut
DepositGiftCard,Hediye Kartınızı Verin
Disconnected,LÜTFEN BEKLEYİN...
Done,Bitti
Due,Ödenmesi gereken:{0}
EditCart,Alışveriş sepetini Düzenle
Enter,Giriş
EnterAmount,Tutar Girin
EnterCouponValue,"Kupon değerini kuruş olarak girin ve ""OK"" e basın."
EnterId,Kimliğinizi Girin
EnterPassword,Şifrenizi Girin
EnterPin,PIN Numarasını Gir
EnterQuantity,Kaç adet var?
EnterWeight,Ürünü tartıya yerleştirin:
Finish,Alışverişinizde bizi tercih ettiğiniz için teşekkür ederiz.
FinishAndAdd,Bitir & Ekle
GiftCard,Hediye Kartı Bakiyesi
GoBack,Geri Git
IncorrectLogin,Hatalı operatör numarası \nve şifresi.\nLütfen tekrar deneyin.
InsertCash,Nakit Yerleştir
InsertCoupon,Kuponu Yerleştirin
InvalidBarcodeScan,Ürünü kenara koyun ve satın alma \nişleminize devam edin.
Item,{0} Ürün
Items,{0} Ürünler
ItemsAddedFormat,{0} Alışveriş sepetine eklenecek ürünler.
Language,Dil
NCRCorp,NCR Corp
No,Hayır
OK,OK
Or,veya
OtherPayment,Diğer Ödeme
OtherPaymentMethod,Diğer ödeme metodları
OwnBag,Kendi Çantası
Paid,Ödenen:{0}
PayAnotherWay,Başka şekilde öde
PointsEarned,Kazanılan Puanlar
PrintReceipt,Fişi Yazdır
Proceed,Devam Et
Remove,Kaldır
RemovedItem,Ürünü kaldırdım
RestrictedItem,İzne Tabi Ürün
ReturnToScan,Geri Git
ScanAndBag,"Başlamak için ürünü taratın, arayın veya ürün kodunu girin."
ScanCoupon,Kuponları Tara
ScanGiftCard,Hediye Kartını Tarat
ScanNextItem,Lütfen sonraki ürünü taratın.
ScanVoucher,Makbuzları Tarat
SearchResultsFor,"""{0}"" için Arama Sonuçları"
SearchWatermark,Ürün Adı veya Kodunu Girin
SearchItemNameWatermark,Enter Item Name
