AmountSaved,Заощаджено
Assistance,Допомога
AssistanceComing,"Продовжуйте, зараз підійде помічник."
Back,Назад
BagItem,Покладіть товар у пакет.
BagItemCart,Пакування товару
BagItemOrSkip,"Покладіть товар у пакет або натисніть ""Пропустити""."
CallForHelp,Викликати допомогу?
Cancel,Скасувати
CancelAll,Скасувати все
CancelCoupons,Скасувати Купони
CancelPayment,Скасувати платіж
CantScanCoupon,Не зчитано купон
CartPay,Сплатити
Change,Решта:
Confirm,Скасувати покупку взагалі?
ConfirmQuantity,{0} - вірно?
Continue,Продовжити?
CouponMessage,Відкладіть купони. Внесіть їх наприкінці оформлення покупки.
DepositCard,Вставте подарункову картку в щілину для купонів.
DepositCoupon,Внести купони
DepositGiftCard,Вставте подарункову картку
Disconnected,Зачекайте...
Done,Готово
Due,До сплати:{0}
EditCart,Виправити в кошику
Enter,Ввести
EnterAmount,Введіть суму
EnterCouponValue,"Введіть вартість купона в гривнях і натисніть ""ОК""."
EnterId,Введіть свій код.
EnterPassword,Введіть пароль.
EnterPin,Введіть ПІН
EnterQuantity,Скільки штук?
EnterWeight,Покладіть товар на ваги:
Finish,Дякуємо за покупку!
FinishAndAdd,Закінчити і додати
GiftCard,Залишок на подарунковій картці
GoBack,Назад
IncorrectLogin,Невірний код оператора і пароль.\nСпробуйте ще раз.
InsertCash,Внесіть гроші
InsertCoupon,Внесіть Купон
InvalidBarcodeScan,Відкладіть товар і продовжуйте оформляти покупку.
Item,{0} товар
Items,{0} товари
ItemsAddedFormat,{0} товари(-ів) буде додано в кошик.
Language,Мова
NCRCorp,NCR Corp
No,Ні
OK,ОК
Or,або
OtherPayment,ІНША ОПЛАТА
OtherPaymentMethod,Інші способи оплати
OwnBag,Свій пакет
Paid,Сплачено:{0}
PayAnotherWay,Інший спосіб оплати
PointsEarned,Отримано балів
PrintReceipt,Друк чеку
Proceed,Далі
Remove,Видалити
RemovedItem,Я зняв товар
RestrictedItem,Обмежений відпуск
ReturnToScan,Назад
ScanAndBag,"Скануйте, знайдіть або введіть код товару."
ScanCoupon,Сканувати купони
ScanGiftCard,Сканувати подарункову картку
ScanNextItem,Скануйте наступний товар.
ScanVoucher,Відскануйте ваучери
SearchResultsFor,"Результат пошуку ""{0}"""
SearchWatermark,Ввести назву чи код товару
SearchItemNameWatermark,Enter Item Name
SearchKeyInItem,Знайти або ввести код товару
SelectCashBack,"Оберіть суму, яку бажаєте зняти готівкою"
SelectLanguage,Обрати мову
SelectPaymentType,Виберіть спосіб оплати
SellBags,"Скільки поліетиленових пакетів використано?  Якщо жодного, натисніть ""0""."
SignNeeded,Потрібен підпис
SignSignature,Розпишіться у вікні для підпису.
SkipBagging,Не пакувати
Space,Пробіл
StartScanning,Сканувати
StoreLogin,Вхід до магазину
TakeCash,Візьміть повернену готівку.
TakeChange,Візьміть решту
TakeReceipt,Візьміть чек
Tax,Податок
TimeRestrictedItem,Відпуск в обмежені години
Total,Сума
TouchCancel,"Щоб скасувати оплату, на терміналі натисніть ""Скасувати""."
TryAgain,Спробуйте знов
UnexpectedDecreaseMessage,Поверніть товар на пакувальні ваги.
UnexpectedIncreaseMessage,Зніміть товар з пакувальних ваг.
UsePinpad,Набрати ПІН-код
VoidItem,"Скануйте непотрібний товар або на чеку натисніть ""Видалити""."
Volume,Гучність
Yes,Так
ItemNumberAmount,КТ :  
WeightExpected,ОВ :  
WeightObserved,ФВ :  
UnknownPriceMessage,Ціна товару невідома. \nДо вас зараз підійдуть. \n\nВідкладіть товар і скануйте інші покупки.
SetAllItemsAsideMessage,Покупку скасовано.\n\nВідкладіть усі товари.
ConfirmAbortMessage,Видалити все з кошика? Це призведе до скасування операції.
NoKeep,"Ні, залишити."
NoReturn,"Ні, повернутися до операції."
YesEmpty,"Так, видалити все з кошика та закінчити операцію."
YesRemove,"Так, зняти."
HostOfflineMessage,Каса не в мережі. Іде спроба відновити зв’язок.
LaneClosedMessage,Касу закрито
LoadingText,Завантаження
VerifyBagsMessage,"Якщо на вагах сторонній предмет (не пакет), зніміть його."
HelpOnWay,"Продовжуйте, до вас зараз підійдуть."
OwnBagMessage,Покладіть пакети на ваги.
UseOwnBag,Маю свій пакет
AttendantMode,"Режим ""помічник"""
AttendantTrainingMode,"Режим ""помічник та навчання"""
TrainingMode,Режим навчання
ScaleBroken,"Зніміть товар з ваг, натисніть на сканері кнопку “Обнулити ваги”."
Refunded,Повернено:
EnterIDMessage,Введіть ім’я користувача і натисніть “Ввести”.
EnterIDText,Введіть ім’я користувача
EnterPasswordMessage,Введіть пароль і натисніть “Ввести”.
EnterPasswordText,Введіть пароль
VisualVerify,Візуальна перевірка
SingleItemAddedFormat,{0} товар буде додано в кошик.
Approved,Прийнято
VoidItemBeforeCouponMessage,"Неможливо скасувати товар, доки не скасовано купон на нього. Спершу скасуйте купон на товар."
VerifyBags,Ваші пакети перевірить працівник.
CancelItems,Скасувати товари
EnterQuantityTitle,Потрібна кількість
SecUnExpectedIncreaseTitle,Попередження пакувальних ваг
WeightMismatchTitle,Потрібна допомога
AssistanceNeededTitle,Потрібна допомога
CheckBasketTitle,Перевірте кошик
ConfirmDebitAmountTitle,Підтвердити суму
DropoffCouponsTitle,Здача купонів.
InsufficientBalanceTitle,Замалий залишок
OperatorPasswordStateInvalidPasswordWithFPTitle,Збій при дактилоскопії
PurchaseCrateTitle,Купити ящик
RestrictedItemTitle,Обмежений відпуск
SecBagAreaBackupTitle,Скупчення товарів
SignChargeTitle,Підпишіть чек
TakeCardTitle,Заберіть картку
ContinueTitle,Продовжити?
ApprovalNeededTitle,Потрібне підтвердження
IncorrectLoginTitle,Невірне число
RecalledItemTitle,Відкликаний товар
RemovedItemTitle,Попередження пакувальних ваг
SetAllItemsAsideTitle,Відкласти товари
TakeLoyaltyCardTitle,Отримайте дисконтну картку
UnknownPriceTitle,Невідома ціна
ConfirmEBTAmountTitle,Підтвердити суму
DisconnectedTitle,Відключено
ShuttingDown,Завершую роботу
NoneText,ЖОДНИЙ
SMText,Режим “Магазин”
SMLogInReceiptText,Ви перейшли в режим “Магазин”
SMLogOutReceiptText,Ви вийшли з режиму “Магазин”
WLDBOffLineText,База даних ваги: не в мережі
OperatorIDText,Код оператора:
SignOnButtonText,Увійти
SignOffButtonText,Вийти
AlertText,Попередження:
SuspendInProgressText,Відкласти in progress
SuspendLeadthru1,Отримано запит відкласти поточну операцію.\nПідтвердіть або скасуйте його.
SuspendLeadthru2,"Ви відклали поточну операцію. Підтвердіть запит. Щоб скасувати, натисніть “Назад” і скасуйте операцію на касовому терміналі NCR SelfServ Checkout."
ReceiptText,Чек:
SuspendReasonText1,Відкласти: General
CancelSuspendButtonText,Скасувати Відкласти
ConfirmSuspendNowButtonText,Відкласти\nнегайно
ConfirmAllowSuspendButtonText,Дозволити\nВідкласти
ConfirmSuspendRequestButtonText,Відкласти \nзапит
CancelSuspendNowButtonText,Скасувати Відкласти \nNow
GoBackButtonText,Назад
CancelSuspendRequestButtonText,Скасувати Відкласти \nзапит
CouponText,Купони:
SuspendReasonText2,Відкласти: Купони
CouponReceiptText,Купонів: %d на суму $%.2f
SuspendNowButtonText,Відкласти Now
RequestSuspendButtonText,запит Відкласти
NotConnectedText,Не підключено.
ConnectingText,Підключаюся... Зачекайте
ApprovalNeededText,Потрібне підтвердження:
SuspendReasonText3,Відкласти: ІНШЕ
ClearRequestButtonText,Очистити запит
ApproveButtonText,Прийнято
RestrictedItemText,Обмежений відпуск:
SuspendReasonText4,Відкласти: обмеж. відпуску
SecurityLogText,Журнал контролю:
SuspendReasonText5,Відкласти: Контроль
SignatureText,Підпис:
SignatureAndNameText,Підпис: %s
ConnectingLeadthru,Підключаюсь до NCR SelfServ Checkout... Зачекайте
EnterIDLeadthru,На клавіатурі введіть код.
EnterPasswordLeadthru,На клавіатурі введіть пароль.
LoggingInLeadthru,Завантаження in...Зачекайте
ApproveSecurityButtonText,Прийняти Контроль
ApprovalNeededButtonText,Потрібне підтвердження
VerifySignatureButtonText,Перевірка підпису
AllowSuspendButtonText,Дозволити відкласти
MainButtonText,Головна
SuspendTransactionButtonText,Відкласти Операція
ApproveAndCollectButtonText,Прийнято і Візьміть картку
ClearApprovalsButtonText,Очистити Підтвердження
BirthDateOver30ButtonText,Вік понад 30 років
SignAgainButtonText,Другий підпис
BackSpaceButtonText,Стерти
EnterButtonText,Ввести
LaneNumberText,Каса №: %d
RAPTitle,NCR SelfServ Checkout\nПриймальна станція
CancelSuspendText,Скасувати Відкласти
OtherPaymentSelectedText,Замовлено інший вид оплати.
CouponCollectionText,Купон Збір
PendingSuspendText,Pending Відкласти
SignatureApprovalText,Підпис Підтвердження
LaneText,Каса
VideoButtonText,Відео
ClearButtonText,Очистити
QuantityButtonText,Кількість
FeesAndCustomerAgreementsTitle,Тарифи і договори з замовником:
FeesButtonText,Тарифи
CustomerAgreementButtonText,Договір на придбання товарів чи послуг
FeesAndCustomerAgreementsLeadthru,Тарифи і договори з замовником
TransactionSuspendedText,Операцію відкладено
POSMessageText,Повідомлення кас. терміналу:
ConnectingWaitingText,"Зачекайте, підключаюсь до NCR SelfServ Checkout..."
DateOfBirthNotNeededButtonText,Дата непотрібна
AssistModeButtonText,Режим “Касир”
ClearSecurityButtonText,Зняти контроль
VisualApproveButtonText,Візуальна перевірка
CheckAgeTitle,Перевірити вік покупця
CouponLimitExceededTitle,Купон Перевищено ліміт
VerifyItemAndPriceTitle,Перевірити товар і ціну
UnknownItemTitle,Невідомий товар відкладено
ItemNotForSaleTitle,Не продається
ItemQuantityExceededTitle,Перевищено ліміт кількості
TimeRestrictedItemTitle,Відпуск в обмежені години
CheckAgeLeadthru,Введіть дату народження %s і натисніть “Ввести”.
InvalidBirthDateFormatLeadthru,Невірний формат дати. \nВведіть ще раз у форматі %s.
CouponLimitExceededLeadthru,Дозволити внести купон на касі - натисніть “Прийняти” або натисніть “Прийняти і взяти” і візьміть купон у покупця.
VisualApproveLeadthru,Натисніть “Візуальна перевірка” або відредагуйте операцію в режимі “Касир”.
UnknownItemLeadthru,Візьміть товар на касі і натисніть “Зняти контроль” або завершіть операцію в режимі “Касир”.
ItemNotForSaleLeadthru,Візьміть товар на касі і натисніть “Зняти контроль”.
OffLineLaneButtonText,Не в мережі
ExitText,Вийти
EnterDataLaneButtonText,Введіть Data
AgeCheckLaneButtonText,Прврк віку
CouponLaneButtonText,Купон
VoidLaneButtonText,Скасовано
VerifyItemLaneButtonText,Прврк товару
NotFoundLaneButtonText,Не знайдено
NoSaleLaneButtonText,Не продано
QuantityLaneButtonText,Кількість
HelpLaneButtonText,Довідка
NoInterventionLeadthru,Втручання не потрібне.
OffLineLeadthru,Каса не в мережі. Іде спроба відновити зв’язок.
CancelRequestButtonText,Скасувати запит
HelpRequestTitle,Викликано допомогу
SecurityLaneButtonText,Контроль
VoidLeadthru,"Заберіть скасований товар на касі, натисніть “Скасувати”."
ApproveVoidButtonText,Скасувати
SecurityLeadthru,"Monitor customer transaction for security and touch ""Зняти контроль""."
SecurityViolationText,Порушення безпеки
OtherPaymentText,"""ІНША ОПЛАТА"" обране"
SuspendTransactionLeadthru,Натисніть “Відкласти операцію” або прийміть оплату в режимі “Касир”.
EASText,Протикрадіжк. давач все ще активний
DeactivateLeadthru,На касі відключіть або зніміть з товару протикрадіжковий давач і натисніть “Зняти контроль”.
CompareSignatureTitle,Порівняти підпис
CompareSignatureLeadthru,Порівняйте підпис і натисніть “Прийняти” або “Підписати знов”.
EnterPriceLeadthru,Введіть ціну товару і натисніть “Ввести”.
UtilityButtonText,Утиліта
ReturnToMainButtonText,Назад на головну
GetDiagFilesButtonText,Отримати діагн. файли
CouponApprovalLeadthru,Прийміть купони від покупця на приймальній станції і натисніть “Прийняти”.
RebootSystemButtonText,Перезавантажити систему
ShutDownSystemButtonText,Вимкнути всю систему
LaneStatusTitle,Каса Стан
LaneStatusLeadthru,Виберіть функцію.
AgeRestrictedText,Вікові обмеження товар; %2d років
BirthdateEnterText,"Введена дата народж.:%2d/%2d/%4d, років: %d"
HelpRequestLeadthru,Після допомоги покупцю натисніть “Скасувати запит”.
TotalText,Сума:
ItemText,товар:
MultimediaTrainingText,Аудіовізуальне навчання
VolumeControlButtonText,Звук
SecurityViolationNumText,Порушення безпеки:
ItemPurchasedText,Придбані товари:
EnterPriceTitle,Ціна
CancelTransactionGenericTitle,Скасувати Операція
CancelTransactionGenericLeadthru,"Скасувати операцію - натисніть “Так”, продовжити - натисніть “Ні”."
YesButtonText,Так
NoButtonText,Ні
ConfirmSuspendTitle,Відкласти:
ConfirmSuspendLeadthru,Відкласти.
ConfirmSuspendButtonText,Відкласти
IncorrectItemWeightTitle,Невірна вага на контрольних вагах.
IncorrectItemWeightLeadthru,Зніміть товар і натисніть “Зняти контроль” або натисніть “Підтвердити і змінити вагу”.
ApproveUpdateButtonText,Підтвердити і змінити вагу
UnexpectedIncreaseTitle,"На контрольних вагах не той товар, що очікується."
UnexpectedIncreaseLeadthru,"Підійдіть до каси, зніміть зайві товари і натисніть “Зняти контроль”."
SkipBaggingBtnThresholdLeadthru,Перевірте товари на касі і натисніть “Зняти контроль”.
NewWeightItemTitle,Немає даних про вагу товару.
NewWeightItemLeadthru,Перевірте вагу товару і натисніть “Підтвердити і змінити вагу” або натисніть “Прийняти без змін”.
ApproveNoUpdateButtonText,Прийняти без змін.
BagItemTimerExpiredTitle,На контрольних вагах очікується вага.
TakeChangeTimerExpiredTitle,Візьміть решту
TakeChangeTimerExpiredBottomCaption,Час очікування сплинув
PickingUpItemsTimerExpiredTitle,Товари не повернено на пакувальні ваги.
DeviceFailureTitle,Пристрій працює невірно
DeviceFailureLeadthru,Перейти до каси і перевірити пристрій.
WLDBFailureTitle,Порушення зв’язку з WLDB.
WLDBFailureLeadthru,Перевірити зв’язок.
UnexpectedDecreaseTitle,Товар знято з пакувальних ваг.
ClosedLaneTitle,"Щоб відкрити касу, перейдіть до неї та відкрийте режим “Магазин”."
ClosedLaneLeadthru,Касу закрито
BagAreaBackupTitle,Скупчення товарів на конвеєрі
BagAreaBackupLeadthru,Зніміть з конвеєра скупчені товари.
MinimumAgeText,Мінімальний вік (років).
SafetyCoverOpenLeadthru,Зніміть з конвеєра всі товари і закрийте захисну кришку.
VerifySignatureLeadthru,Порівняйте підпис покупця з підписом на картці.
AssistedTenderTitle,Платіж з оператором
AssistedTenderLeadthru,"Щоб прийняти банк. чек від покупця, перейдіть у режим “Касир”."
AssistedTenderHHLeadthru,"Щоб прийняти оплату, скористайтеся приймальною станцією."
AssistedEndorsementLeadthru,Потрібен підпис. Дочекайтеся оператора.
StartTransactionButtonText,Почати операцію
StartTransactionTitle,Функції з оператором
StartTransactionLeadthru,Виберіть потрібну функцію.
StartTransactionAMButtonText,Старт & Касир
ItemsForgottenTitle,Зберігати вагу\nна пакувальних вагах.
InsertCouponTimerExpiredTitle,Внесіть Купон
CollectGiftCardTitle,Візьміть подарункову картку
HostOfflineLeadthru,Каса не в мережі. Іде спроба відновити зв’язок.
SpaceButtonText,Пробіл
LaneReceiptItemType1,%s\t%s
LaneReceiptItemType2,%s
LaneReceiptItemType3,%s\t%s\tК-ть %s ціна %s/од.\t%s
LaneReceiptItemType4,%s\t%s\tК-ть %s ціна %s/%s\t%s
LaneReceiptItemType5,%s\t%s\t%ss ціна %s %s/%s\t%s
LaneReceiptItemType6,%s\t%s\t%ss ціна %s %s/%s\t%s
