AmountSaved,Úspora
Assistance,Asistence
AssistanceComing,"Pomoc je již na cestě, pokračujte prosím."
Back,Zpět
BagItem,Vložte toto zboží do tašky.
BagItemCart,Dejte do tašky
BagItemOrSkip,"Vložte toto zboží do tašky, nebo položku přeskočte."
CallForHelp,Požádat o pomoc?
Cancel,Zrušit
CancelAll,Zrušit vše
CancelCoupons,Zrušit kupóny
CancelPayment,Zrušit placení
CantScanCoupon,Nelze načíst kupón
CartPay,Platit
Change,K vrácení:
Confirm,Chcete stornovat celý nákup?
ConfirmQuantity,Je {0} správně?
Continue,Přejete si pokračovat?
CouponMessage,Dejte kupóny stranou. Předložte až na konci nákupu.
DepositCard,Vložte prosím dárkovou kartu do štěrbiny na kupóny.
DepositCoupon,Předložení kupónů
DepositGiftCard,Předložení dárkové karty
Disconnected,Počkejte prosím...
Done,Hotovo
Due,K zaplacení:{0}
EditCart,Upravit nákupní košík
Enter,Potvrdit
EnterAmount,Zadejte množství
EnterCouponValue,"Zadejte hodnotu kupónu v haléřích a stiskněte ""OK""."
EnterId,Zadejte svůj identifikační kód.
EnterPassword,Zadejte své heslo.
EnterPin,Zadejte PIN
EnterQuantity,Kolik položek máte?
EnterWeight,Položte zboží na váhu:
Finish,Děkujeme za váš nákup.
FinishAndAdd,Dokončit a přidat
GiftCard,Zůstatek na dárkové kartě
GoBack,Zpět
IncorrectLogin,Nesprávný kód obsluhy\na heslo.\nOpakujte akci.
InsertCash,Vložte peníze
InsertCoupon,Vložit kupón
InvalidBarcodeScan,Odložte zboží stranou a pokračujte v nákupu.
Item,{0} položka zboží
Items,{0} položky zboží
ItemsAddedFormat,{0} položky pro přidání do nákupního košíku.
Language,Jazyk
NCRCorp,NCR Corp
No,Ne
OK,OK
Or,nebo
OtherPayment,Jiné placení
OtherPaymentMethod,Jiné způsoby placení
OwnBag,Vlastní taška
Paid,Zaplaceno:{0}
PayAnotherWay,Platit jiným způsobem
PointsEarned,Získáno bodů
PrintReceipt,Vytisknout paragon
Proceed,Pokračovat
Remove,Odebrat
RemovedItem,Odebral/a jsem zboží.
RestrictedItem,Zboží s omezeným prodejem
ReturnToScan,Zpět
ScanAndBag,"Nejprve naskenujte, vyhledejte nebo zadejte kód položky."
ScanCoupon,Načtěte kupóny
ScanGiftCard,Naskenovat dárkovou kartu
ScanNextItem,Naskenujte další zboží.
ScanVoucher,Načíst poukázky
SearchResultsFor,Výsledky hledání pro „{0}“
SearchWatermark,Zadejte název nebo kód položky zboží
SearchItemNameWatermark,Enter Item Name
SearchKeyInItem,Hledání nebo zadání položky zboží
SelectCashBack,Zvolte částku pro cashback
SelectLanguage,Výběr jazyka
SelectPaymentType,Zvolte typ placení
SellBags,"Kolik plastových tašek jste použil/a?  Pokud jste nepoužil/a žádnou, zadejte 0."
SignNeeded,Prosíme o podpis
SignSignature,Podepište se na podpisovou plošku.
SkipBagging,Tašky nepoužity
Space,Mezerník
StartScanning,Zahájení skenování
StoreLogin,Přihlášení obsluhy
TakeCash,Odeberte vrácené peníze
TakeChange,Vyzvedněte drobné
TakeReceipt,Odeberte paragon
Tax,DPH
TimeRestrictedItem,Zboží s časovým omezením
Total,Celkem
TouchCancel,Dotkněte se na PIN klávesnici tlačítka Storno pro zrušení platby.
TryAgain,Zkusit znovu
UnexpectedDecreaseMessage,Vraťte zboží do taškové zóny.
UnexpectedIncreaseMessage,Odeberte zboží z taškové zóny.
UsePinpad,Použijte klávesnici PIN
VoidItem,Naskenujte nechtěné zboží nebo se na paragonu dotkněte příkazu „Odebrat“.
Volume,Hlasitost
Yes,Ano
ItemNumberAmount,NOI :  
WeightExpected,WE :  
WeightObserved,WO :  
UnknownPriceMessage,Cena zboží není známa.\nObsluha je na cestě.\n\nOdložte zboží stranou a pokračujte.
SetAllItemsAsideMessage,Celý nákup byl zrušen.\n\nDejte všechno zboží stranou.
ConfirmAbortMessage,Opravdu chcete vyprázdnit nákupní košík? Transakce bude stornována.
NoKeep,"Ne, ponechat."
NoReturn,"Ne, vrátit do transakce."
YesEmpty,"Ano, vyprázdnit nákupní košík a ukončit transakci."
YesRemove,"Ano, odebrat."
HostOfflineMessage,Pokladna je offline a systém se snaží navázat spojení.
LaneClosedMessage,Pokladna uzavřena
LoadingText,Načítání
VerifyBagsMessage,"Pokud jste do taškové zóny náhodou položili něco jiného než tašku, předmět prosím odstraňte."
HelpOnWay,Obsluha je na cestě.  Pokračujte prosím.
OwnBagMessage,Položte prosím své tašky na váhu.
UseOwnBag,Mám vlastní tašku
AttendantMode,Režim obsluhy
AttendantTrainingMode,Režim obsluhy a cvičný režim
TrainingMode,Cvičný režim
