AmountSaved,Epargné
Assistance,Aide
AssistanceComing,"Assistance prévue, veuillez continuer."
Back,Retour
BagItem,Veuillez ensacher cet article.
BagItemCart,Emballez article
BagItemOrSkip,Veuillez ensacher cet article ou choisir de le sauter.
CallForHelp,"Demander de l'aide?"
Cancel,Annuler
CancelAll,Annulez tout
CancelCoupons,Annulez les coupons
CancelPayment,Annulez le paiement
CantScanCoupon,Coupons non lu
CartPay,Payez
Change,Monnaie :
Confirm,Souhaitez-vous annuler votre achat au complet ?
ConfirmQuantity,Est-ce que {0} est correct ?
Continue,Souhaitez-vous continuer?
CouponMessage,Mettez les coupons de côté. Déposez-les à la fin de vos achats.
DepositCard,Veuillez déposer votre carte cadeau épuisé dans la fente de coupon.
DepositCoupon,Déposez les coupons
DepositGiftCard,Dépôsez la carte cadeau
Disconnected,Veuillez attendre ...
Done,Terminé
Due,Dû:{0}
EditCart,Modifier Chariot
Enter,Entrée
EnterAmount,Entrez le montant
EnterCouponValue,Entrez la valeur du coupon en cents et appuyez sur «OK».
EnterId,Tapez votre identification.
EnterPassword,Tapez votre mot de passe.
EnterPin,Entrez le NIP
EnterQuantity,Combien en avez vous?
EnterWeight,"Placez l'article sur la balance:"
Finish,Merci pour votre achat chez nous.
FinishAndAdd,Finissez et ajoutez
GiftCard,Solde de carte-cadeau
GoBack,Retour
IncorrectLogin,"Numéro d'opérateur\net mot de passe incorrects.\n\nVeuillez essayer à nouveau."
InsertCash,Insérez argent
InsertCoupon,Insérez coupon
InvalidBarcodeScan,"Mettez l'article de côté et continuez votre achat."
Item,{0} article
Items,{0} articles
ItemsAddedFormat,{0} articles à ajouter au chariot.
Language,Langue
NCRCorp,NCR Corp
No,Non
OK,OK
Or,ou
OtherPayment,Autre Paiement
OtherPaymentMethod,Autres méthodes de paiement
OwnBag,Sac du client
Paid,Payé:{0}
PayAnotherWay,"Payez d'une autre manière"
PointsEarned,Points obtenus
PrintReceipt,Imprimer reçu
Proceed,Continuer
Remove,Retirez
RemovedItem,"J'ai enlevé l'article"
RestrictedItem,Article réglementé
ReturnToScan,Retour
ScanAndBag,"Scannez, recherchez ou tapez le code d'article pour démarrer."
ScanCoupon,Scannez les coupon
ScanGiftCard,Scannez la carte-cadeau
ScanNextItem,"Veuillez ensacher l'article suivant."
ScanVoucher,Balayez les bons
SearchResultsFor,"Recherchez les résultats pour ""{0}"""
SearchWatermark,"Entrez le nom ou code d'article"
SearchItemNameWatermark,Enter Item Name
SearchKeyInItem,"Recherchez ou tapez l'article"
SelectCashBack,Choisissez le montant de remise d’argent
SelectLanguage,Sélectionnez une langue
SelectPaymentType,Choisissez Paiement
SellBags,"Combien de sacs plastiques avez-vous utilisés? Entrez 0 si vous n'en n'avez pas utilisé."
SignNeeded,Signature requise
SignSignature,Signez sur la tablette.
SkipBagging,"Sautez l'ensachage"
Space,Espace
StartScanning,Commencez le scannage
StoreLogin,Au magasin
