AmountSaved,Economie
Assistance,Aide
AssistanceComing,"L'assistance arrive, veuillez continuer."
Back,Retour
BagItem,Ensachez cet article.
BagItemCart,"Mettre l'article en sac"
BagItemOrSkip,Ensachez cet article ou choisissez de sauter.
CallForHelp,"Demander de l'aide?"
Cancel,Annuler
CancelAll,Tout annuler
CancelCoupons,Annuler les coupons
CancelPayment,Annuler le paiement
CantScanCoupon,Impossible de scanner le coupon
CartPay,Payer
Change,Monnaie:
Confirm,Voulez-vous annuler tous vos achats?
ConfirmQuantity,Est-ce que {0} est correct ?
Continue,Voulez-vous contiunuer?
CouponMessage,"Mettez les coupons de côté pour l'instant. Déposez-les à la fin de vos achats."
DepositCard,Veuillez déposer votre carte Cadeau périmée dans la fente des coupons.
DepositCoupon,Déposer les coupons
DepositGiftCard,Dépôt de la carte Cadeau
Disconnected,Veuillez patienter…
Done,Terminé
Due,Dû:{0}
EditCart,Modifier le chariot
Enter,Entrée
EnterAmount,Saisissez le montant
EnterCouponValue,"Saisissez la valeur du bon de réduction en centimes et appuyez sur ""OK"""
EnterId,Saisissez votre identifiant.
EnterPassword,Saisissez votre mot de passe.
EnterPin,Saisissez le code secret
EnterQuantity,Combien en avez-vous?
EnterWeight,"Placez l'article sur la balance:"
Finish,Merci de faire vos courses chez nous.
FinishAndAdd,Finir et ajouter
GiftCard,Solde de la carte-cadeau
GoBack,Retour
IncorrectLogin,"Numéro d'opérateur\net mot de passe incorrects.\n\nVeuillez essayer à nouveau."
InsertCash,Insérez les espèces
InsertCoupon,Insérer coupon
InvalidBarcodeScan,"Mettez l'article de côté et continuez vos achats."
Item,{0} article
Items,{0} articles
ItemsAddedFormat,{0} articles à ajouter au chariot.
Language,Langue
NCRCorp,NCR Corp
No,Non
OK,OK
Or,ou
OtherPayment,Autre Paiement
OtherPaymentMethod,Autres modes de paiement
OwnBag,Votre sac
Paid,Payé:{0}
PayAnotherWay,"Payer d'une autre manière"
PointsEarned,Points obtenus
PrintReceipt,Imprimer le reçu
Proceed,Continuer
Remove,Retirer
RemovedItem,"J'ai enlevé l'article"
RestrictedItem,Article à vente restreinte
ReturnToScan,Retour
ScanAndBag,"Scannez, cherchez ou saisissez le code d'article pour commencer."
ScanCoupon,Scanner les coupon
ScanGiftCard,Scanner une carte-cadeau
ScanNextItem,"Veuillez scanner l'article suivant."
ScanVoucher,Scanner les bons
SearchResultsFor,"Résultats de recherche pour ""{0}"""
SearchWatermark,"Saisissez un nom/code d'article"
