AmountSaved,Iznos Ušteđen
Assistance,Pomoć
AssistanceComing,"Stiže pomoć, molimo nastavite."
Back,Vrati se natrag
BagItem,Molimo stavite proizvod u vrećicu.
BagItemCart,Stavite Proizvod u Kesicu
BagItemOrSkip,Stavite proizvod u vrećicu ili nastavite.
CallForHelp,Zahtjev za Pomoć?
Cancel,Poništite
CancelAll,Poništite Sve
CancelCoupons,Poništite Kupone
CancelPayment,Poništite Plaćanje
CantScanCoupon,Kupon se nemože skenirati
CartPay,Plaćanje
Change,Ostatak:
Confirm,Želite li otkazati kupovinu?
ConfirmQuantity,Dali je {0} ispravno?
Continue,Želite li nastaviti?
CouponMessage,Spremite kupone sa strane za sada. Uložite ih na kraju kupovine.
DepositCard,Molim vas uložite vašu poklon-karticu u položaj kupona.
DepositCoupon,Uložite kupone
DepositGiftCard,Uložite Poklon-Karticu
Disconnected,Molimo pričekajte...
Done,Gotovo
Due,Za platiti:{0}
EditCart,Uredi kolica
Enter,Unesite
EnterAmount,Ubacite Iznos
EnterCouponValue,"Unesite vrijednost kupona u kunama i pritisnite ''OK''"
EnterId,Unesite svoj ID.
EnterPassword,Unesite svoju lozinku.
EnterPin,Umetnite PIN
EnterQuantity,Koliko ih imate?
EnterWeight,Stavite proizvod na vagu:
Finish,Hvala na kupovini.
FinishAndAdd,Završi i dodaj
GiftCard,Stanje na poklon kartici
GoBack,Vrati se natrag
IncorrectLogin,Neispravni broj i lozinka operatera. Molimo pokušajte ponovo.
InsertCash,Umetnite Gotovinu
InsertCoupon,Umetnite Kupon
InvalidBarcodeScan,Molim vas sklonite ga sa strane i nastavite s vašom kupovinom.
Item,{0} proizvod
Items,{0} proizvoda
ItemsAddedFormat,{0} proizvoda za dodati u kolica.
Language,Jezik
NCRCorp,NCR Corp
No,Ne
OK,OK
Or,ili
OtherPayment,Drugo plaćanje
OtherPaymentMethod,Drugi načini plaćanja
OwnBag,Svoja Kesica
Paid,Plaćeno:{0}
PayAnotherWay,Drugi način plaćanja
PointsEarned,Bodovi Zarađeni
PrintReceipt,Ispiši račun
Proceed,Nastaviti
Remove,Sklonite
RemovedItem,Proizvod uklonjen
RestrictedItem,Ograničen Proizvod
ReturnToScan,Vrati se natrag
ScanAndBag,"Skeniraj, pretraži ili unesi kod proizvoda za početak."
ScanCoupon,Skenirajte Kupone
ScanGiftCard,Skeniraj  darovnu karticu
ScanNextItem,Molimo skenirajte sljedeći proizvod.
ScanVoucher,Skenirajte Vaučere
SearchResultsFor,"Pretraži rezultate za ""{0}"""
SearchWatermark,Unesi ime ili kod proizvoda
SearchItemNameWatermark,Enter Item Name
SearchKeyInItem,Pretraži ili unesi proizvod
SelectCashBack,Odaberite Iznos Ostatka
SelectLanguage,Odaberi jezik
SelectPaymentType,Odaberite vrstu Plačanja
SellBags,Koliko ste plastičnih vrećica upotrijebili? Unesite 0 ako niste nijednu.
SignNeeded,Potreban je Potpis
SignSignature,Potpišite se na ekranu.
SkipBagging,Preskoči vrećicu
Space,Prostor
StartScanning,Počni skeniranje
StoreLogin,Ulazna zaporka od Trgovine
TakeCash,Uzmite vaš Povratni Novac
TakeChange,Uzmite Ostatak
TakeReceipt,Uzmite Priznanicu
Tax,Porez
TimeRestrictedItem,Ograničeno Vrijeme za Proizvode
Total,Cijeli
TouchCancel,"Otkažite plaćanje pritiskom na 'Otkaži'."
TryAgain,Pokušajte Ponovo
UnexpectedDecreaseMessage,Vratite proizvod na mjesto pakiranja.
UnexpectedIncreaseMessage,Uklonite proizvod s mjesta pakiranja.
UsePinpad,Koristite Pinpad
VoidItem,"Skenirajte neželjene proizvode ili pritisnite ''Sklonite'' na računu."
Volume,Glasnoća
Yes,Da
ItemNumberAmount,NOI :  
WeightExpected,WE :  
WeightObserved,WO :  
UnknownPriceMessage,Cijena proizvoda je nepoznata..\nStiže pomoć.\n\nStavite proizvod sa strane i nastavite.
SetAllItemsAsideMessage,Cijela kupovina je poništena.\n\nOdložite sve proizvode sa strane.
ConfirmAbortMessage,Jeste li sigurni da želite isprazniti kolica? Transakcija će biti otkazana.
NoKeep,"Ne, zadržite."
NoReturn,"Ne, povrat na transakciju."
YesEmpty,"Da, isprazni kolica i završi transakciju."
YesRemove,"Da, ukloni."
HostOfflineMessage,Traka nije spojena na mrežu (offline) i sustav se pokušava ponovo spojiti.
LaneClosedMessage,Traka je zatvorena
LoadingText,Učitavanje
VerifyBagsMessage,"Ako ste slučajno na mjesto pakiranja stavili nešto drugo osim vrećica, molimo uklonite to."
HelpOnWay,"Stiže pomoć, molimo nastavite."
OwnBagMessage,Molimo stavite vrećice na vagu.
UseOwnBag,Ja koristim moju kesicu
AttendantMode,Način rada uz podršku
AttendantTrainingMode,Način rada uz podršku i poduku
TrainingMode,Način rada uz poduku
ScaleBroken,"Sklonite proizvod s vage, i pritisnite tipku ""Vaga na Nuli"" na skeneru."
Refunded,Naknada:
EnterIDMessage,"Unesite svoj korisnički ID i pritisnite ""Unesite""."
EnterIDText,Unesite ID
EnterPasswordMessage,"Unesite svoju lozinku and touch ""Unesite""."
EnterPasswordText,Unesite lozinku
VisualVerify,Vizualna provjera
SingleItemAddedFormat,{0} proizvod za dodati u kolica.
Approved,Odobreno
VoidItemBeforeCouponMessage,Nemože se poništiti proizvod sve dok njegov kupon nije poništen. Poništite naj prvo kupon proizvoda.
VerifyBags,Poslužitelj će provjeriti vaše vrećice.
CancelItems,Poništite Proizvode
EnterQuantityTitle,Potrebna je Količina
SecUnExpectedIncreaseTitle,Upozorenje Pakovanja
WeightMismatchTitle,Potrebna je Pomoć
AssistanceNeededTitle,Potrebna je Pomoć
CheckBasketTitle,Provjerite Košaru
ConfirmDebitAmountTitle,Potvrdite Iznos
DropoffCouponsTitle,Kuponi su ostavljeni.
InsufficientBalanceTitle,Kredit je Nedovoljan
OperatorPasswordStateInvalidPasswordWithFPTitle,Prijava otiska nije uspjela
PurchaseCrateTitle,Kupovinska Košara za pakiranje
RestrictedItemTitle,Ograničen Proizvod
SecBagAreaBackupTitle,Proizvodi su Pokrenuti natrag
SignChargeTitle,Potpišite Priznanicu
TakeCardTitle,Uzmite Karticu
ContinueTitle,Nastaviti?
ApprovalNeededTitle,Potrebna je Potvrda
IncorrectLoginTitle,Nepravilan Broj
RecalledItemTitle,Ukinut Proizvod
RemovedItemTitle,Upozorenje Pakovanja
SetAllItemsAsideTitle,Odložite Proizvode sa strane
TakeLoyaltyCardTitle,Uzmite Karticu Vjernosti
UnknownPriceTitle,Nepoznata Cjena
ConfirmEBTAmountTitle,Potvrdite Iznos
DisconnectedTitle,Isključeno
ShuttingDown,Gašenje u tijeku
NoneText,Nijedan
SMText,Postupak trgovine
SMLogInReceiptText,Prijavljeni ste u Postupak trgovine
SMLogOutReceiptText,Odjavljeni ste iz Postupka trgovine
WLDBOffLineText,Baza podataka težine: izvan mreže (offline)
OperatorIDText,ID Operatera: 
SignOnButtonText,Prijavite se
SignOffButtonText,Odjavite se
AlertText,Upozorenje:
SuspendInProgressText,Prekid u tijeku
SuspendLeadthru1,Podnesen je zahtjev za obustavom aktualne transakcije. \nMolimo potvrdite ili otkažite ovaj zahtjev.
SuspendLeadthru2,"Prekinuli ste trenutnu transakciju. Molimo potvrdite ovaj zahtjev. Za poništenje, pritisnite ""Vrati se natrag"" i poništite iz NCR SelfServ Checkout Terminala."
ReceiptText,Priznanica:
SuspendReasonText1,Prekid: Opcenito
CancelSuspendButtonText,Poništi obustavu
ConfirmSuspendNowButtonText,Potvrdi prekid \nodmah
ConfirmAllowSuspendButtonText,Potvrdi Dozvoli obustavu
ConfirmSuspendRequestButtonText,Potvrdi Zahtjev za obustavu
CancelSuspendNowButtonText,Odmah poništi obustavu
GoBackButtonText,Vrati se natrag
CancelSuspendRequestButtonText,Poništi zahtjev za obustavu
CouponText,Kuponi:
SuspendReasonText2,Prekid: Kuponi
CouponReceiptText,%d kupona ukupan iznos$%.2f
SuspendNowButtonText,Prekini odmah
RequestSuspendButtonText,Zahtjev za obustavu
NotConnectedText,Nije spojeno.
ConnectingText,Spajanje u tijeku...Molimo pricekajte
ApprovalNeededText,Potrebna potvrda
SuspendReasonText3,Prekid: Drugo
ClearRequestButtonText,Ocisti zahtjeve
ApproveButtonText,Potvrdi
RestrictedItemText,Ograničeni Proizvodi:
SuspendReasonText4,Prekid: Ograniceno
SecurityLogText,Sigurnosni zapis:
SuspendReasonText5,Prekid: Zaštita
SignatureText,Potpis:
SignatureAndNameText,Potpis: %s
ConnectingLeadthru,Spajanje sa NCR SelfServ Blagajna...Molimo pricekajte
EnterIDLeadthru,Unesite ID pomocu donje tipkovnice.
EnterPasswordLeadthru,Unesite lozinku pomocu donje tipkovnice.
LoggingInLeadthru,Ucitavanje u tijeku...Molimo pricekajte
ApproveSecurityButtonText,Potvrdi zaštitu
ApprovalNeededButtonText,Potrebna je Potvrda
VerifySignatureButtonText,Provjeri \npotpis
AllowSuspendButtonText,Dopusti obustavu
MainButtonText,Glavna
SuspendTransactionButtonText,Prekini trans
ApproveAndCollectButtonText,Potvrdi i skupi
ClearApprovalsButtonText,Ocisti potvrde
BirthDateOver30ButtonText,Datum rodenja iznad 30
SignAgainButtonText,Potpišite se ponovo
BackSpaceButtonText,Povratni Pomak
EnterButtonText,Unesite
LaneNumberText,Traka: %d
RAPTitle,NCR SelfServ Checkout Stanica za daljinsku potvrdu
CancelSuspendText,Poništi obustavu
OtherPaymentSelectedText,Odabrano drugo plaćanje
CouponCollectionText,Prikupljanje kupona
PendingSuspendText,Cekanje prekida
SignatureApprovalText,Potvrda potpisa
LaneText,Traka
VideoButtonText,Video
ClearButtonText,Izbrisati
QuantityButtonText,Količina
FeesAndCustomerAgreementsTitle,Naknade ii Sporazumi Korisnika:
FeesButtonText,Naknade
CustomerAgreementButtonText,Sporazumi Korisnika
FeesAndCustomerAgreementsLeadthru,Naknade i Sporazumi Korisnika
TransactionSuspendedText,Obustavljene transakcije
POSMessageText,Poruka MP:
ConnectingWaitingText,"Molimo pricekajte, spajanje sa NCR SelfServ Checkout..."
DateOfBirthNotNeededButtonText,Datum nije potreban
AssistModeButtonText,Postupak podrške
ClearSecurityButtonText,Ocisti zaštitu
VisualApproveButtonText,Vizualno odobrenje
CheckAgeTitle,Provjeri dob kupca
CouponLimitExceededTitle,Kuponski limit prekoracen
VerifyItemAndPriceTitle,Provjeri proizvod i cijenu
UnknownItemTitle,Nepoznat proizvod.Stavite sa strane
ItemNotForSaleTitle,Proizvod nije u prodaji
ItemQuantityExceededTitle,Kolicina proizvoda je prekoracena
TimeRestrictedItemTitle,Ograniceno Vrijeme za Proizvod
CheckAgeLeadthru,"Unesite datum rodenja %s i pritisnite ""Unesite""."
InvalidBirthDateFormatLeadthru,Format unesenog datuma je nevažeći \nUnesite ponovo u %s format.
CouponLimitExceededLeadthru,"Pritisnite ""Potvrditi"" za dozvolu kuponskog depozita na traci ili pritisnite ""Potvrdi i skupi"" i preuzmite od kupca."
VisualApproveLeadthru,"Za izmjenu transakcije Pritisnite ""Vizualno odobrenje"", ili pritisnite ""Postupak podrške""."
UnknownItemLeadthru,"Pokupite proizvode na traci i pritisnite ""Ocisti zaštitu"", ili pritisnite ""Postupak podrške"" da biste dovršili transakciju."
ItemNotForSaleLeadthru,"Pokupite proizvod na traci i pritisnite ""Ocisti zaštitu""."
OffLineLaneButtonText,Izvan mreže
ExitText,Izlaz
EnterDataLaneButtonText,Unesi podatke
AgeCheckLaneButtonText,Dobna provjera
CouponLaneButtonText,Kuponi
VoidLaneButtonText,Poništiti
VerifyItemLaneButtonText,Provjera proizvoda
NotFoundLaneButtonText,Nije pronađeno
NoSaleLaneButtonText,Nije dostupno za prodaju
QuantityLaneButtonText,Količina
HelpLaneButtonText,Pomoć
NoInterventionLeadthru,Trenutno nije potrebna intervencija.
OffLineLeadthru,Traka trenutno nije spojena na mrežu (offline) i sustav se pokušava ponovo spojiti.
CancelRequestButtonText,Poništi zahtjev
HelpRequestTitle,Zatražena Pomoć
SecurityLaneButtonText,Zaštita
VoidLeadthru,"Pokupite poništeni proizvod i pritisnite ""Potvrdi poništenje""."
ApproveVoidButtonText,Potvrdi poništenje
SecurityLeadthru,"Prati transakciju kupca radi sigurnosti i klikni ''Poništi osiguranje''"
SecurityViolationText,Povreda sigurnosti
OtherPaymentText,"Odabrano ""Drugo plaćanje"""
SuspendTransactionLeadthru,"Pritisnite ""Transakcija je Zaustavljena"" ili ""Postupak podrške"" i prihvatite plaćanje."
EASText,EAS sustav je i dalje aktivan
DeactivateLeadthru,"Deaktivirajte proizvod ili uklonite tvrdu etiketu i pritisnite ""Očisti zaštitu""."
CompareSignatureTitle,Uporedite Potpis
CompareSignatureLeadthru,"Usporedite potpise i pritisnite ""Potvrdi"", ili ""Potpiši ponovo""."
EnterPriceLeadthru,"Unesite cijenu proizvoda i pritisnite ""Unesite""."
UtilityButtonText,Uslužni program
ReturnToMainButtonText,Povratak na Glavni
GetDiagFilesButtonText,Dohvati Diag datoteke
CouponApprovalLeadthru,"Primite kupone od kupca na stanici za potvrdu i pritisnite ""Potvrdi""."
RebootSystemButtonText,Prekid rada računala Cijelog Sustava
ShutDownSystemButtonText,Zatvorite Cijeli Sistem
LaneStatusTitle,Status trake
LaneStatusLeadthru,Odaberite funkciju.
AgeRestrictedText,Proizvod s dobnim ograničenjem; %2d god
BirthdateEnterText,"Unesen datum rođenja:%2d/%2d/%4d,%d dob"
HelpRequestLeadthru,"Nakon pomaganja kupcu pritisnite ""Poništi zahtjev""."
TotalText,Cijeli:
ItemText,Proizvodi:
MultimediaTrainingText,Priprema multimedije
VolumeControlButtonText,Regulacija jačine
SecurityViolationNumText,Povreda sigurnostis:
ItemPurchasedText,Kupljeni proizvod:
EnterPriceTitle,Unos cijene
CancelTransactionGenericTitle,Poništi transakciju
CancelTransactionGenericLeadthru,"Pritisnite ""Da"" za poništenje transakcije ili ""Ne"" za nastavak transakcije."
YesButtonText,Da
NoButtonText,Ne
ConfirmSuspendTitle,Obustavi:
ConfirmSuspendLeadthru,Potvrdi obustavu.
ConfirmSuspendButtonText,Potvrdi obustavu
IncorrectItemWeightTitle,Nepravilna težina na vagi.
IncorrectItemWeightLeadthru,"Uklonite proizvod i pritisnite ""Očisti zaštitu"", ili pritisnite ""Potvrdi i ažuriraj težinu""."
ApproveUpdateButtonText,Potvrdi i ažuriraj težinu
UnexpectedIncreaseTitle,Neočekivan proizvod na vagi uvjerenja.
UnexpectedIncreaseLeadthru,"Idi na traku, ukloni suvišne proizvode i pritisni ""Očisti zaštitu""."
SkipBaggingBtnThresholdLeadthru,"Provjerite proizvode na traci i pritisnite ""Očisti zaštitu""."
NewWeightItemTitle,Nema podataka o težini proizvoda.
NewWeightItemLeadthru,"Provjerite težinu proizvoda i pritisnite ""Potvrdi i ažuriraj težinu"" ili pritisnite ""Potvrdi/Nije ažurirano""."
ApproveNoUpdateButtonText,Potvrdi/Nije ažurirano.
BagItemTimerExpiredTitle,Očekivana težina na sigurnosnoj vagi.
TakeChangeTimerExpiredTitle,Uzmite Ostatak
TakeChangeTimerExpiredBottomCaption,Tajmer je istekao
PickingUpItemsTimerExpiredTitle,Proizvodi nisu vraćeni u zonu pakiranja.
DeviceFailureTitle,Kvar uređaja
DeviceFailureLeadthru,Idite na traku i provjerite uređaj.
WLDBFailureTitle,BPPT ne komunicira ispravno.
WLDBFailureLeadthru,Provjerite komunikaciju.
UnexpectedDecreaseTitle,Proizvod je sklonut od zone pakiranja.
ClosedLaneTitle,Idite na traku i prijavite se na Postupak trgovine da biste otvorili traku.
ClosedLaneLeadthru,Traka je zatvorena
BagAreaBackupTitle,Proizvodi su Pokrenuti unazad na Remen
BagAreaBackupLeadthru,Izbrišite proizvode pokrenute unazad na remenu.
MinimumAgeText,Minimalna dob.
SafetyCoverOpenLeadthru,Uklonite sve proizvode s trake i zatvorite sigurnosni poklopac.
VerifySignatureLeadthru,Uporedite potpis kupca s onim na kartici.
AssistedTenderTitle,Način plaćanja uz pomoć operatera
AssistedTenderLeadthru,Za primanje čeka kupca koristite Postupak podrške.
AssistedTenderHHLeadthru,Za prihvat plaćanja koristite Stanicu poslužitelja.
AssistedEndorsementLeadthru,Potrebna je Ovjera. Molim vas pričekajte za pomoć operatora.
