AmountSaved,Sutaupyta suma
Assistance,Pagalba
AssistanceComing,"Tuoj sulauksite pagalbos, tęskite."
Back,Grįžti atgal
BagItem,Prašome įdėti šią prekę į maišelį.
BagItemCart,Supakuokite prekę
BagItemOrSkip,Prašome įdėti šią prekę į maišelį arba pasirinkite praleisti.
CallForHelp,Kviesti pagalbą?
Cancel,Panaikinti
CancelAll,Panaikinti viską
CancelCoupons,Panaikinti kuponus
CancelPayment,Panaikinti mokėjimą
CantScanCoupon,Nuskenuoti kupono negalima
CartPay,Mokėti
Change,Grąža:
Confirm,Ar norite atšaukti visą savo pirkinį?
ConfirmQuantity,Ar {0} – teisinga?
Continue,Ar norite tęsti?
CouponMessage,Atidėkite kuponus į šalį. Nuskenuokite juos pabaigę veiksmus su pirkiniais.
DepositCard,Įdėkite išnaudotą dovanų kortelę  į plyšį kuponams.
DepositCoupon,Nuskenuoti kuponus
DepositGiftCard,Nuskenuokite dovanų kortelę
Disconnected,PRAŠOME PALAUKTI...
Done,Atlikta
Due,Mokėti:{0}
EditCart,Redaguoti krepšelį
Enter,Įvesti
EnterAmount,Įveskite sumą
EnterCouponValue,"Įveskite kupono vertę centais ir palieskite ""OK"""
EnterId,Įveskite savo ID.
EnterPassword,Įveskite savo slaptažodį.
EnterPin,Įveskite PIN
EnterQuantity,Kokį prekės kiekį turite?
EnterWeight,Padėkite prekę ant svarstyklių:
Finish,"Dėkojame, kad apsipirkote mūsų parduotuvėje."
FinishAndAdd,Baigti ir pridėti
GiftCard,Dovanų kortelės balansas
GoBack,Grįžti atgal
IncorrectLogin,Neteisingas operatoriaus numeris \nir slaptažodis.\nPamėginkite dar kartą.
InsertCash,Įdėkite pinigus
InsertCoupon,Įdėkite kuponą
InvalidBarcodeScan,Padėkite prekę į šalį ir tęskite.
Item,{0} prekė
Items,{0} prekės
ItemsAddedFormat,{0} prekės(-ių) bus įdėta į krepšelį.
Language,Kalba
NCRCorp,NCR Corp
No,Ne
OK,OK
Or,arba
OtherPayment,Kitas mokėjimas
OtherPaymentMethod,Kiti mokėjimo būdai
OwnBag,Savo maišelis
Paid,Sumokėta:{0}
PayAnotherWay,Sumokėti kitu būdu
PointsEarned,Uždirbti taškai
PrintReceipt,Atspausdinti kvitą
Proceed,Tęsti
Remove,Išimti
RemovedItem,Aš pašalinau prekę
RestrictedItem,Apribota prekė
ReturnToScan,Grįžti atgal
ScanAndBag,"Nuskenuokite, ieškokite arba įveskite prekės kodą, kad pradėtumėte."
ScanCoupon,Skenuoti kuponus
ScanGiftCard,Nuskenuoti dovanų kuponą
ScanNextItem,Nuskenuokite kitą prekę.
ScanVoucher,Nuskenuoti vaučerius
SearchResultsFor,"""{0}"" paieškos rezultatai"
SearchWatermark,Įveskite prekės pavadinimą arba kodą
SearchItemNameWatermark,Enter Item Name
SearchKeyInItem,Ieškokite arba įveskite prekę
SelectCashBack,Pasirinkite pageidaujamą išmokėti grynųjų pinigų sumą
SelectLanguage,Pasirinkite kalbą
SelectPaymentType,Pasirinkti mokėjimo būdą
