AgeCheckLaneButtonText,Age Check
AgeRestrictedText,Usia dihadkan item; %2d yrs old
AlertStatusTextOff,
AlertStatusTextOn,!!!
AlertText,Amaran:
AllowSuspendButtonText,Allow Suspend
AMItemQuantityExceededTitle,Had Kuantiti
AmountSaved,Amaun Disimpan
AM_RestrictedNotAllowedLeadthru,Item yang dihadkan telah dibatalkan - had umur tidak dipatuhi. \n\nSila asingkan item.
AM_RestrictedNotAllowedTitle,Item Dihadkan
ApprovalNeededButtonText,Kelulusan Diperlukan
ApprovalNeededText,Kelulusan Diperlukan:
ApprovalNeededTitle,Kelulusan Diperlukan
ApproveAndCollectButtonText,Approve & Collect
ApproveButtonText,Approve
ApproveCouponButtonText,Approve Kupon
Approved,Lulus
ApproveNoUpdateButtonText,Approve/No Kemas Kini.
ApproveSecurityButtonText,Approve Keselamatan
ApproveUpdateButtonText,Approve & Kemas Kini Weight
ApproveVoidButtonText,Lulus Batal
Assistance,Bantuan
AssistanceComing,"Bantuan akan datang, sila teruskan."
AssistanceNeededTitle,Bantuan Diperlukan
AssistedEndorsementLeadthru,Pengendorsan Diperlukan. Sila tunggu bantuan operator.
AssistedTenderHHLeadthru,Use the Attendant Station to accept payment.
AssistedTenderLeadthru,Use assist mode to accept check from customer.
AssistedTenderTitle,Operator Assisted Tender
AssistModeButtonText,Assist Mode
AttendantMode,Mod Atendan
AttendantTrainingMode,Mod Latihan & Atendan
Back,Kembali
BackSpaceButtonText,Backspace
BagAreaBackupLeadthru,Buang item-item sandaran di atas tali sawat.
BagAreaBackupTitle,Item Sandaran di atas Tali Sawat
BagItem,Sila bungkuskan item ini.
BagItemCart,Item Beg
BagItemOrSkip,"Sila bungkuskan item ini, atau pilih untuk melangkau."
BagItemTimerExpiredTitle,Weight expected on security scale.
BasicAssistModeLeadthru,Scan item or select function.
BasicAssistModeTitle,Assist Functions
BirthdateEnterText,"Birthdate entered:%2d/%2d/%4d,%d years old"
BirthDateOver30ButtonText,Birthdate over 30
CalibrateConfirm,Are you sure you want to calibrate the touch screen?
CallForHelp,Minta Bantuan?
Cancel,Batal
CancelActionButtonText,Batalkan Tindakan
CancelAll,Batalkan Semua
CancelButtonText,Batal
CancelCoupons,Batalkan Kupon-kupon
CancelItems,Batalkan Item
CancelPayment,Batalkan Bayaran
CancelRequestButtonText,Batalkan Request
CancelSuspendButtonText,Batalkan Suspend
CancelSuspendDeclinedButtonText,Kembali
CancelSuspendNowButtonText,Batalkan Suspend \nNow
CancelSuspendRequestButtonText,Batalkan Suspend Request
CancelSuspendText,Batalkan Suspend
CancelTransactionGenericLeadthru,"Touch ""Yes"" to cancel transaction or touch ""No"" to resume transaction."
CancelTransactionGenericTitle,Transaksi Dibatalkan
CantScanCoupon,Tidak Boleh Mengimbas Kupon
CartPay,Bayar
Change,Ubah:
ChangePriceButtonText,Price Change
ChangePriceTitle,Change Price
ChangeQuantityButtonText,Kuantiti Change
ChangeQuantityTitle,Change Kuantiti
CheckAgeLeadthru,"Key in birth date %s and touch ""Masukkan""."
CheckAgeTitle,"Check Customer's Age"
CheckBasketTitle,Periksa Bakul
ClearApprovalsButtonText,Buang Approvals
ClearButtonText,Buang
ClearRequestButtonText,Buang Request
ClearSecurityButtonText,Buang Keselamatan
ClearSecurityFinalizationButtonText,Buang Keselamatan
CloseAllConfirm,Are you sure you want to exit all applications and go to the desktop?
CloseButtonText,Close
ClosedLaneLeadthru,Lorong Ditutup
ClosedLaneTitle,Go to lane and log into Store Mode to open lane.
CloseLaneButtonText,Close Lorong
CollapseReceiptButtonText,Collapse Resit
CollectGiftCardTitle,Kumpul Kad Hadiah
CommandPromptConfirm,Are you sure you want to start the Command Prompt?
CommandPromptPrimaryTxt,Command Prompt
CompareSignatureLeadthru,"Compare signatures and touch ""Approve"", or ""Sign Again""."
CompareSignatureTitle,Compare Signatures
Confirm,Adalah anda ingin membatalkan semua pembelian anda?
ConfirmAbortLeadthru,Do you want to stop checking out and cancel your entire purchase?
ConfirmAbortMessage,Pastikah anda ingin Kosongkan Cart? Transaksi akan dibatalkan.
ConfirmAbortTitle,Batalkan Semua Item
ConfirmAllowSuspendButtonText,Confirm Allow \nSuspend
ConfirmDebitAmountTitle,Sahkan Amaun
ConfirmEBTAmountTitle,Sahkan Amaun
ConfirmQuantity,Adakah {0} betul?
ConfirmQuantityTitle,Sahkan Kuantiti
ConfirmSuspendButtonText,Sahkan Suspend
ConfirmSuspendDeclinedButtonText,Sahkan Decline
ConfirmSuspendDeclinedLeadthru,Sahkan or Batal Suspension Decline.
ConfirmSuspendFromLaneStatusLeadthruText,Sahkan or batal suspend.
ConfirmSuspendLeadthru,Sahkan Suspend.
ConfirmSuspendNowButtonText,Sahkan Suspend \nNow
ConfirmSuspendRequestButtonText,Sahkan Suspend Request
ConfirmSuspendTitle,Suspend:
ConfirmVoidTitle,Sahkan Batal
ConnectingLeadthru,Connecting to NCR SelfServ Checkout...Sila tunggu
ConnectingText,Connecting...Sila Tunggu
ConnectingWaitingText,"Sila tunggu, connecting to NCR SelfServ Checkout..."
Continue,Adakah anda ingin meneruskan?
ContinueTitle,Teruskan?
ContinueTransLeadthru,Adakah anda ingin meneruskan pembelian anda?
ContinueTransTitle,Teruskan?
CouponApprovalLeadthru,"Accept coupons from customer at the approval station and touch ""Luluskan""."
CouponCollectionText,Kupon Collection
CouponExceededLimitFinalizationLeadthru,The transaction was finalized using a coupon that exceeds the store coupon limit.
CouponExceededLimitLeadthru,"Touch ""Luluskan Kupon"" to accept the coupon or go to Assist Mode to void it."
CouponLaneButtonText,Kupon
CouponLimitExceededLeadthru,"Touch ""Luluskan"" to allow coupon deposit at lane or touch ""Luluskan & Collect"" and collect from customer."
CouponLimitExceededTitle,Kupon Limit Exceeded
CouponMessage,Asingkan kupon sekarang. Depositkannya pada akhir pembelian.
CouponNoMatchLeadthru,Coupon does not match any item on receipt. This coupon cannot be accepted.
CouponNoMatchTitle,Kupon Tidak Sepadan
CouponReceiptText,%d coupons totaling $%.2f
CouponText,Kupon-kupon:
CouponTooHighLeadthru,Amaun yang anda telah masukkan untuk kupon ini terlalu tinggi. Sistem ini tidak boleh menerima kupon ini.
CouponTooHighTitle,Kupon Terlalu Tinggi
CrateableItemTitle,Beli Troli
CustomerAgreementButtonText,Perjanjian Pelanggan
DateFormat1,(mmddyyyy)
DateFormat2,(mmddyy)
DateFormat3,(ddmmyyyy)
DateFormat4,(ddmmyy)
DateFormat5,(yyyymmdd)
DateFormat6,(yymmdd)
DateOfBirthNotNeededButtonText,Date not needed
DeactivateLeadthru,"Deactivate item or remove hard tag and touch ""Buang Keselamatan""."
DepositCard,Sila depositkan kad hadiah susut anda dalam slot kupon.
DepositCoupon,Depositkan Kupon
DepositGiftCard,Kad Hadiah Depositkan
DeviceFailureLeadthru,Go to lane and check device.
DeviceFailureTitle,Device Malfunction
DiagConfirm,Are you sure you want to generate Diagnostic Log Files?
DisableHHRapApprovalText, Disable HHRAP Approval
DisableRapApprovalText, Disable RAP Approval
Disconnected,Sila tunggu...
DisconnectedTitle,Diputuskan
Done,Siap
DoneButtonText,Siap
DoNotApproveButtonText,Do Not Approve
DropoffCouponsTitle,Turunkan Kupon.
Due,Perlu Dibayar:{0}
EASText,Item EAS masih aktif
EditCart,Sunting Cart
Enter,Masukkan
EnterAmount,Masukkan Amaun
EnterButtonText,Masukkan
EnterCouponValue,"Masukkan nilai baucar dalam sen dan sentuh ""OK"""
EnterCouponValueLeadthru,"Masukkan nilai kupon dalam sen dan sentuh ""Masukkan""."
EnterCouponValueTitle,Masukkan Nilai Kupon
EnterDataLaneButtonText,Masukkan Data
EnterId,Masukkan ID anda.
EnterIDFpLeadthru,"Key in your user ID and touch ""Masukkan"", or place your finger on the fingerprint reader to log in."
EnterIDLeadthru,Masukkan ID using keypad below.
EnterIDMessage,"Key in your user ID dan sentuh ""Masukkan""."
EnterIDText,Masukkan ID
EnterPassword,Masukkan kata laluan anda.
EnterPasswordLeadthru,Masukkan password using keypad below.
EnterPasswordMessage,"Masukkan kata laluan anda dan sentuh ""Masukkan""."
EnterPasswordText,Masukkan Password
EnterPin,Masukkan PIN
EnterPriceLeadthru,"Key in item's price and touch ""Masukkan""."
EnterPriceTitle,Price Entry
EnterQuantity,Berapakah yang anda mempunyai?
EnterQuantityLeadthru,"Masukkan kuantiti dan sentuh ""Masukkan""."
EnterQuantityTitle,Kuantiti Diperlukan
EnterWeight,Letakkan item ke atas skala:
EnterWeightLeadthru,Go to the lane and place item on scale.
EnterWeightTitle,Timbang Item
EventViewerBtnPrimaryTxt,Event Viewer
EventViewerConfirm,Are you sure you want to start the Event Viewer?
Exit,Exit All
ExitFastLaneAndRunProfileBtnPrimaryTxt,Stop SelfServ Checkout and Run Profile Manager
ExitFastLaneAndRunProfileBtnSecondaryTxt,Run Profile Manager
ExitRAPAndRunProfileBtnPrimaryTxt,Stop RAP and Run Profile Manager
ExitRAPAndRunProfileBtnSecondaryTxt,Run Profile Manager
ExitText,Exit
ExpandReceiptButtonText,Expand Resit
FeesAndCustomerAgreementsLeadthru,Yuran & Perjanjian Pelanggan
FeesAndCustomerAgreementsTitle,Yuran & Perjanjian Pelanggan:
FeesButtonText,Yuran
Finish,Terima kasih untuk membeli-belah dengan kita.
FinishAndAdd,Siap & Tambah
FixLaterButtonText,Fix Later
FullAssistButtonText,Full Assist
GenerateLogBtnPrimaryTxt,Generate Diagnostic Log Files
GetDiagFilesButtonText,Get Diag Files
