AmountSaved,Úspora
Assistance,Pomoc
AssistanceComing,"Obsluha prichádza, pokračujte."
Back,Späť
BagItem,Zabaľte tento tovar.
BagItemCart,Vložte do tašky
BagItemOrSkip,Zabaľte tento tovar alebo zvoľte preskočiť.
CallForHelp,Požiadať o pomoc?
Cancel,Zrušiť
CancelAll,Zrušiť všetko
CancelCoupons,Zrušiť kupóny
CancelPayment,Zrušiť platbu
CantScanCoupon,Nedá sa načítať kupón
CartPay,Platba
Change,Vydať:
Confirm,Chcete zastaviť účtovanie a zrušiť celý nákup?
ConfirmQuantity,Je {0} správne?
Continue,Želáte si pokračovať?
CouponMessage,Teraz dajte kupóny nabok.Predložte ich až na konci nákupu.
DepositCard,Vložte darčekovú kartu do štrbiny na kupóny.
DepositCoupon,Predloženie kupónov
DepositGiftCard,Predloženie darčekovej karty
Disconnected,ČAKAJTE...
Done,Hotovo
Due,Zaplatiť:{0}
EditCart,Upraviť vozík
Enter,Enter
EnterAmount,Zadajte množstvo
EnterCouponValue,Zadajte hodnotu kupónu v centoch a stlačte „OK“.
EnterId,Zadajte svoje ID.
EnterPassword,Zadajte svoje heslo.
EnterPin,Zadajte PIN
EnterQuantity,Aké množstvo máte?
EnterWeight,Položte tovar na váhu:
Finish,"Ďakujeme, že u nás nakupujete."
FinishAndAdd,Dokončiť a pridať
GiftCard,Hodnota darčekovej karty
GoBack,Späť
IncorrectLogin,Nesprávne číslo \na heslo obsluhy.\nSkúste znova.
InsertCash,Vložte peniaze
InsertCoupon,Vložiť kupón
InvalidBarcodeScan,Odložte tovar nabok a \npokračujte.
Item,{0} tovar
Items,{0} tovary
ItemsAddedFormat,{0} tovary na pridanie do vozíka.
Language,Jazyk
NCRCorp,NCR Corp
No,Nie
OK,OK
Or,alebo
OtherPayment,Iný druh platby
OtherPaymentMethod,Iný druh platby
OwnBag,Vlastná taška
Paid,Zaplatené:{0}
PayAnotherWay,Platba iným spôsobom
PointsEarned,Získané body
PrintReceipt,Vytlačiť účtenku
Proceed,Pokračovať
Remove,Odstrániť
RemovedItem,Tovar som odstránil/a
RestrictedItem,Tovar s obmedzením predaja
ReturnToScan,Späť
ScanAndBag,"Pre začiatok načítajte, vyhľadajte alebo zadajte kód tovaru."
ScanCoupon,Načítajte kupóny
ScanGiftCard,Načítajte darčekovú kartu
ScanNextItem,Načítajte ďalší tovar.
ScanVoucher,Načítať poukážky
SearchResultsFor,Hľadať výsledky pre „{0}“
SearchWatermark,Zadajte názov alebo kód tovaru
SearchItemNameWatermark,Enter Item Name
SearchKeyInItem,Vyhľadajte alebo zadajte tovar.
SelectCashBack,Zvoľte sumu pre vyplatenie v hotovosti.
SelectLanguage,Zvoľte jazyk
SelectPaymentType,Zvoľte spôsob platby
SellBags,"Koľko plastových tašiek ste použili?  Zadajte 0, ak ste nepoužili žiadnu."
SignNeeded,Je potrebný podpis
SignSignature,Podpíšte sa na podpisovej ploche.
SkipBagging,Nebaliť.
Space,Medzerník
StartScanning,Spustiť načítanie
StoreLogin,Prihlásenie obsluhy
TakeCash,Zoberte si vrátenú hotovosť
TakeChange,Vezmite drobné
TakeReceipt,Vezmite si účtenku
Tax,DPH
TimeRestrictedItem,Tovar s časovým obmedzením
Total,Súčet
TouchCancel,Stlačením Zrušiť na klávesnici PIN zrušíte platbu.
TryAgain,Skúsiť znova
UnexpectedDecreaseMessage,Vráťte tovar do baliaceho priestoru.
UnexpectedIncreaseMessage,Odstráňte tovar z baliaceho priestoru.
UsePinpad,Použite klávesnicu PIN
VoidItem,"Načítajte neželaný tovar alebo ťuknite na ""Odstrániť"" z účtenky“."
Volume,Hlasitosť
Yes,Áno
ItemNumberAmount,NOI :  
WeightExpected,WE :  
WeightObserved,WO :  
UnknownPriceMessage,Cena tovaru je neznáma.\nOdložte tovar nabok a \n\nOdložte tovar nabok a pokračujte.
SetAllItemsAsideMessage,Celý nákup zrušený.\n\nDajte všetok tovar nabok.
ConfirmAbortMessage,Naozaj chcete vyprázdniť vozík? Transakcia sa zruší.
NoKeep,"Nie, ponechať."
NoReturn,"Nie, vrátiť do transakcie."
YesEmpty,"Áno, vyprázniť vozík a ukončiť transakciu."
YesRemove,"Áno, odstrániť."
HostOfflineMessage,Pokladňa je offline a systém sa pokúša znova pripojiť.
LaneClosedMessage,Pokladňa zatvorená
LoadingText,Načítanie
VerifyBagsMessage,"Počkajte, prosím, na obsluhu.Systém nemohol skontrolovať tašky. Ak ste do baliaceho priestoru náhodou položili niečo iné než tašky, odstráňte to, prosím."
HelpOnWay,Obsluha je na ceste.Pokračujte v nákupe.
OwnBagMessage,Položte svoje tašky na váhu.
UseOwnBag,Mám vlastnú tašku
AttendantMode,Režim obsluhy
AttendantTrainingMode,Režim obsluhy a školiaci režim
TrainingMode,Školiaci režim
ScaleBroken,"Odstráňte tovar z váhy a stlačte tlačidlo \n"">0<"" na čítačke."
Refunded,Vrátené:
EnterIDMessage,"Zadajte kód užívateľa a stlačte tlačidlo ""Enter""."
EnterIDText,Zadajte ID
EnterPasswordMessage,"Zadajte heslo a stlačte tlačidlo ""Enter""."
EnterPasswordText,Zadajte heslo
VisualVerify,Vizuálna kontrola
SingleItemAddedFormat,{0} tovar na pridanie do vozíka.
Approved,Schválené
VoidItemBeforeCouponMessage,"Tovar sa nedá stornovať, kým nie je stornovaný jeho kupón. Najprv stornujte kupón tovaru."
VerifyBags,Obsluha skontroluje vaše tašky.
CancelItems,Zrušiť tovar
EnterQuantityTitle,Zadajte množstvo
SecUnExpectedIncreaseTitle,Upozornenie – baliaci priestor
WeightMismatchTitle,Je potrebná pomoc
AssistanceNeededTitle,Je potrebná pomoc
CheckBasketTitle,Skontrolujte košík
ConfirmDebitAmountTitle,Potvrďte sumu
DropoffCouponsTitle,Odovzdajte kupóny.
InsufficientBalanceTitle,Poukážka nestačí
OperatorPasswordStateInvalidPasswordWithFPTitle,Zlyhanie prihlásenia odtlačkom
PurchaseCrateTitle,Nákup celého balenia
RestrictedItemTitle,Tovar s obmedzením predaja
SecBagAreaBackupTitle,Nahromadený tovar
SignChargeTitle,Podpíšte účtenku
TakeCardTitle,Vyberte kartu
ContinueTitle,Chcete pokračovať?
ApprovalNeededTitle,Je potrebné schválenie
IncorrectLoginTitle,Nesprávny počet
RecalledItemTitle,Tovar bol stiahnutý z obehu
RemovedItemTitle,Upozornenie – baliaci priestor
SetAllItemsAsideTitle,Dajte tovar nabok
TakeLoyaltyCardTitle,Zoberte vernostnú kartu
UnknownPriceTitle,Neznáma cena
ConfirmEBTAmountTitle,Potvrďte sumu
DisconnectedTitle,Odpojené
ShuttingDown,Vypína sa
NoneText,Nie je
SMText,Režim zamestnanca
SMLogInReceiptText,Prihlásený do režimu zamestnanca
SMLogOutReceiptText,Odhlásený z režimu zamestnanca
