AmountSaved,Shranjeni znesek
Assistance,Pomoč
AssistanceComing,"Pomoč prihaja, prosimo nadaljujte."
Back,Pojdi nazaj
BagItem,"Prosimo, pospravite ta izdelek v vrečko."
BagItemCart,Daj izdelek v vrečko
BagItemOrSkip,"Prosimo, pospravite ta izdelek v vrečko ali izberite ""preskoči""."
CallForHelp,Pokliči za asistenta?
Cancel,Prekliči
CancelAll,Prekliči vse
CancelCoupons,Prekliči kupone
CancelPayment,Prekliči plačilo
CantScanCoupon,Neusp. sken. kup.
CartPay,Poravnaj
Change,Sprememba:
Confirm,Želite prekiniti preverjanje in preklicati vaš celotni nakup?
ConfirmQuantity,Je {0} pravilno?
Continue,Ali želite nadaljevati?
CouponMessage,Položite kupone na stran za zdaj. Predložite jih na koncu nakupa.
DepositCard,"Prosim, vstavite porabljeno darilno kartico v režo za kupone."
DepositCoupon,Predloži kupone
DepositGiftCard,Vstavi darilno kartico
Disconnected,"PROSIM, POČAKAJTE ..."
Done,Konec
Due,Rok:{0}
EditCart,Uredi voziček
Enter,Vnesi
EnterAmount,Vnesi znesek
EnterCouponValue,"Vnesite vrednost kupona v centih in pritisnite ""OK""."
EnterId,Vnesite svojo ID-številko.
EnterPassword,Vnesite svoje geslo.
EnterPin,Vnesi PIN številko
EnterQuantity,Koliko jih imate?
EnterWeight,Postavite izdelek na tehtnico:
Finish,Hvala za nakup.
FinishAndAdd,Končaj in dodaj
GiftCard,Saldo darilne kartice
GoBack,Pojdi nazaj
IncorrectLogin,"Napačna številka upravitelja \nin geslo.\nProsim, poskusite ponovno."
InsertCash,Vstavi gotovino
InsertCoupon,Vstavi kupon
InvalidBarcodeScan,Postavite artikel na stran in nadaljujte z nakupom.
Item,{0} izdelki
Items,{0} izdelki
ItemsAddedFormat,{0} Izdelki bodo dodani v voziček.
Language,Jezik
NCRCorp,NCR Corp
No,Ne
OK,OK
Or,ali
OtherPayment,Drugo plačilo
OtherPaymentMethod,Druge plačilne metode
OwnBag,Lastna vrečka
Paid,Plačano:{0}
PayAnotherWay,Plačaj na drug način
PointsEarned,Dobljene točke
PrintReceipt,Natisni račun
Proceed,Nadaljujem
Remove,Odstrani
RemovedItem,Izdelek sem odstranil(-a)
RestrictedItem,Izdelek z omejitvami
ReturnToScan,Pojdi nazaj
ScanAndBag,"Za začetek skenirajte, poiščite ali vnesite kodo izdelka."
ScanCoupon,Skeniraj kupone
ScanGiftCard,Skeniraj darilno kartico
ScanNextItem,"Prosimo, skenirajte naslednji izdelek."
ScanVoucher,Skeniraj kupone
SearchResultsFor,"Iskalni rezultati za ""{0}"""
SearchWatermark,Vnesite ime ali kodo izdelka
SearchItemNameWatermark,Enter Item Name
SearchKeyInItem,Poiščite ali vnesite izdelek
SelectCashBack,Izberi znesek vračila gotovine
SelectLanguage,Izberi jezik
SelectPaymentType,Izberi vrsto plačila
SellBags,"Koliko plastičnih vrečk ste uporabili? Vnesite 0, če niste uporabili nobene."
SignNeeded,Potreben je podpis
SignSignature,Podpisna tablica.
SkipBagging,Preskoči pospravljanje v vrečko
Space,Presledek
StartScanning,Začni s skeniranjem
StoreLogin,Prijava trgovine
TakeCash,Vzemite vaš vrnjeni denar
TakeChange,Vzemi drobiž
TakeReceipt,Vzemi račun
Tax,Obdavčenje
TimeRestrictedItem,Časovno omejeni izdelki
Total,Skupaj
TouchCancel,"Na tipkovnici PIN PAD kliknite ""prekliči plačilo""."
TryAgain,Poskusi ponovno
UnexpectedDecreaseMessage,Return item to bag area.
UnexpectedIncreaseMessage,Vrnite izdelek v območje za vrečko.
UsePinpad,Uporabite tipkovnico PIN PAD
VoidItem,"Odčitajte neželene artikle ali na računu tapnite ""Odstrani"""
Volume,Glasnost
Yes,Da
ItemNumberAmount,NOI :  
WeightExpected,WE :  
WeightObserved,WO :  
UnknownPriceMessage,Cena izdelka ni znana.\nPomoč je na poti.\n\nPostavite izdelek na stran in nadaljujte.
SetAllItemsAsideMessage,Celotni nakup preklican.\n\nPoložite vse izdelke na stran.
ConfirmAbortMessage,"Ali ste prepričani, da želite sprazniti voziček? Transakcija bo preklicana."
NoKeep,"Ne, zadržite."
NoReturn,"Ne, želim nazaj na transakcijo."
YesEmpty,"Da, izpraznite voziček in zaključite transakcijo."
YesRemove,"Da, odstranite."
HostOfflineMessage,Vrsta ni povezana in sistem jo poskuša ponovno povezati.
LaneClosedMessage,Zaprta vrsta
LoadingText,Nalagam
VerifyBagsMessage,"Če ste po pomoti položili kaj drugega na mesto za vrečke kot pa vrečko, tisto takoj odstranite."
HelpOnWay,"Pomoč je na poti. Prosim, nadaljujte."
OwnBagMessage,Postavite vrečke na tehtnico.
UseOwnBag,Uporabljam svojo vrečko
AttendantMode,Način udeleženca
AttendantTrainingMode,Način udeleženca in usposabljanja
TrainingMode,Način usposabljanja
ScaleBroken,"Odstranite izdelek s tehtnice in pritisnite gumb \n"">0<"" na skenerju."
Refunded,Povrnjeno:
EnterIDMessage,"Vnesite vaš ID uporabnika in pritisnite ""Vnesi""."
EnterIDText,Vnesi ID
EnterPasswordMessage,"Vnesite vaše geslo in pritisnite ""Vnesi""."
EnterPasswordText,Vnesi geslo
VisualVerify,Vizualno overi
SingleItemAddedFormat,{0} Izdelki bodo dodani v voziček.
Approved,Odobreno
VoidItemBeforeCouponMessage,Ne morem razveljaviti kupona dokler je njegov kupon razveljavljen. Najprej razveljavite kupon izdelka.
VerifyBags,Udeleženec bo overil vaše vrečke.
CancelItems,Prekliči izdelke
EnterQuantityTitle,Potrebna je količina
SecUnExpectedIncreaseTitle,Alarm dajanja v vrečke
WeightMismatchTitle,Potrebna je asistenca
AssistanceNeededTitle,Potrebna je asistenca
CheckBasketTitle,Preveri košarico
ConfirmDebitAmountTitle,Potrdi znesek
DropoffCouponsTitle,Oddajte kupone.
InsufficientBalanceTitle,Neustrezno stanje
OperatorPasswordStateInvalidPasswordWithFPTitle,Napaka prijave prstnih odtisov
PurchaseCrateTitle,Nakup zaboja
RestrictedItemTitle,Izdelek z omejitvami
SecBagAreaBackupTitle,Nakopičeni izdelki
SignChargeTitle,Podpiši račun
TakeCardTitle,Vzemi kartico
ContinueTitle,Nadaljujem?
ApprovalNeededTitle,Potrebna odobritev
IncorrectLoginTitle,Napačna številka
RecalledItemTitle,Priklican izdelek
RemovedItemTitle,Alarm dajanja v vrečke
SetAllItemsAsideTitle,Položi izdelke na stran
TakeLoyaltyCardTitle,Vzemi kartico zvestobe
UnknownPriceTitle,Neznana cena
ConfirmEBTAmountTitle,Potrdi znesek
DisconnectedTitle,Izklopljeno
ShuttingDown,Izklop
NoneText,Brez
SMText,Način trgovine
SMLogInReceiptText,Prijavljen v način trgovine
SMLogOutReceiptText,Odjavljen iz načina trgovine
WLDBOffLineText,Podatkovna zbirka teže: Nepovezana
OperatorIDText,ID upravitelja: 
SignOnButtonText,Prijava
SignOffButtonText,Odjava
AlertText,Alarmi:
SuspendInProgressText,Začasna zaustavitev se izvaja
SuspendLeadthru1,"Bila je izdana zahteva za začasno zaustavitev trenutne transakcije. \nProsim, potrdite ali prekličite to zahtevo."
SuspendLeadthru2,"Začasno ste zaustavili trenutno transakcijo.  Prosim, potrdite to zahtevo.  Za preklic pritisnite ""Pojdi nazaj"" in prekličite z NCR SelfServ blagajniškega terminala."
ReceiptText,Izpis:
SuspendReasonText1,Začasna zaustavitev: Splošno
CancelSuspendButtonText,Prekliči zač. zaust.
ConfirmSuspendNowButtonText,Potrdi začasno zaustavitev \nZdaj
ConfirmAllowSuspendButtonText,Potrdi odobritev \nZačasna zaustavitev
ConfirmSuspendRequestButtonText,Potrdi začasno zaustavitev \nZahteva
CancelSuspendNowButtonText,Prekliči začasno zaustavitev \nZdaj
GoBackButtonText,Pojdi nazaj
CancelSuspendRequestButtonText,Prekliči začasno zaustavitev \nZahteva
CouponText,Kuponi:
SuspendReasonText2,Začasna zaustavitev: Kuponi
CouponReceiptText,%d skupno kuponov $%.2f
SuspendNowButtonText,Začasna zaustavitev zdaj
RequestSuspendButtonText,Zahteva začasne zaustavitve
NotConnectedText,Nepovezano.
ConnectingText,"Se povezuje... Prosim, počakajte"
ApprovalNeededText,Potrebne odobritve:
SuspendReasonText3,Začasna zaustavitev: Drugo
ClearRequestButtonText,Briši zahtevo
ApproveButtonText,Odobri
RestrictedItemText,Iizdelki z omejitvami:
SuspendReasonText4,Začasna zaustavitev: Omejeni
SecurityLogText,Varnostni dnevnik:
SuspendReasonText5,Začasna zaustavitev: Varnost
SignatureText,Podpis:
SignatureAndNameText,Podpis: %s
ConnectingLeadthru,"Povezovanje na NCR SelfServ Checkout... Prosim, počakajte"
EnterIDLeadthru,Vnesite ID z uporabo spodnje tipkovnice.
EnterPasswordLeadthru,Vnesite geslo z uporabo spodnje tipkovnice.
LoggingInLeadthru,"Prijava … Prosim, počakajte"
ApproveSecurityButtonText,Odobri \nVarnost
ApprovalNeededButtonText,Potrebna odobritev
VerifySignatureButtonText,Overi \nPodpis
AllowSuspendButtonText,Omogoči začasno zaustavitev
MainButtonText,Glavni
SuspendTransactionButtonText,Začasno zaustavi transakcijo
ApproveAndCollectButtonText,Odobri & Vzemi
ClearApprovalsButtonText,Briši odobritve
BirthDateOver30ButtonText,Rojstni datum čez 30
SignAgainButtonText,Ponovno podpiši
BackSpaceButtonText,Vračalka
EnterButtonText,Vnesi
LaneNumberText,Vrsta: %d
RAPTitle,NCR SelfServ blagajna\nOddaljena odobritvena postaja
CancelSuspendText,Prekliči začasno zaustavitev
OtherPaymentSelectedText,Izbrano drugo plačilo
CouponCollectionText,Zbiranje kuponov
PendingSuspendText,Začasna zaustavitev je v teku
SignatureApprovalText,Odobritev podpisa
LaneText,Vrsta
VideoButtonText,Video
ClearButtonText,Briši
QuantityButtonText,Količina
FeesAndCustomerAgreementsTitle,Plačila && Strinjanja stranke:
FeesButtonText,Plačila
CustomerAgreementButtonText,Strinjanje stranke
FeesAndCustomerAgreementsLeadthru,Plačila & Strinjanja stranke
TransactionSuspendedText,Transakcija začasno zaustavljena
POSMessageText,POS sporočilo:
ConnectingWaitingText,"Prosim, počakajte, povezovanje na NCR SelfServ Checkout …"
DateOfBirthNotNeededButtonText,Datum ni potreben
AssistModeButtonText,Način asistence
ClearSecurityButtonText,Briši varnost
VisualApproveButtonText,Vizualna odobritev
CheckAgeTitle,Preveri starost stranke
CouponLimitExceededTitle,Meja kupona presežena
VerifyItemAndPriceTitle,Overi izdelek in ceno
UnknownItemTitle,Neznan izdelek je postavljen na stran
ItemNotForSaleTitle,Izdelek ni za prodajo
ItemQuantityExceededTitle,Količina izdelka presežena
TimeRestrictedItemTitle,Časovno omejen izdelek
CheckAgeLeadthru,"Vnesite rojstni datum %s\nin pritisnite ""Vnesi"""
InvalidBirthDateFormatLeadthru,Format vnesenega datuma ni veljaven \nPonovno vnesite v %s formatu.
